target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	592.859	16	4.4993
Phel_contig_10	2138	1822.93	154.065	14.09
Phel_contig_100	10344	10028.9	1198	19.9149
Phel_contig_1000	4676	4360.93	5763	220.316
Phel_contig_10000	843	534.208	12	3.74496
Phel_contig_10001	1108	792.927	35	7.35888
Phel_contig_10002	3127	2811.93	202.731	12.0197
Phel_contig_10003	1120	804.927	45.4973	9.42335
Phel_contig_10004	712	414.426	58	23.3323
Phel_contig_10005	1319	1003.93	175	29.0611
Phel_contig_10006	861	551.073	81	24.5049
Phel_contig_10007	777	472.895	30	10.5763
Phel_contig_10008	510	246.787	1	0.675545
Phel_contig_10009	609	325.55	20.7858	10.6445
Phel_contig_1001	1473	1157.93	207	29.8034
Phel_contig_10010	771	467.447	0	0
Phel_contig_10011	1568	1252.93	155.936	20.749
Phel_contig_10012	692	397.079	128	53.7415
Phel_contig_10013	2373	2057.93	129	10.4505
Phel_contig_10014	793	487.601	60	20.5146
Phel_contig_10015	1463	1147.93	60.5384	8.79211
Phel_contig_10016	938	624.839	25.7531	6.87128
Phel_contig_10017	1069	753.927	139.378	30.8206
Phel_contig_10018	846	536.924	161.097	50.0208
Phel_contig_10019	679	385.567	32	13.8365
Phel_contig_1002	859	549.197	702	213.101
Phel_contig_10020	1174	858.927	55	10.6754
Phel_contig_10021	2110	1794.93	391	36.3167
Phel_contig_10022	806	499.588	33	11.0123
Phel_contig_10023	1575	1259.93	8	1.05857
Phel_contig_10024	928	615.134	108	29.2705
Phel_contig_10025	1488	1172.93	158	22.4576
Phel_contig_10026	598	316.512	56	29.4967
Phel_contig_10027	1401	1085.93	446	68.4717
Phel_contig_10028	543	272.052	2	1.22562
Phel_contig_10029	1102	786.927	35	7.41498
Phel_contig_1003	1146	830.927	101	20.2645
Phel_contig_10030	2857	2541.93	311	20.3974
Phel_contig_10031	2059	1743.93	144.309	13.7957
Phel_contig_10032	935	621.933	95	25.4658
Phel_contig_10033	516	251.119	28	18.589
Phel_contig_10034	4128	3812.93	434.545	19
Phel_contig_10035	2487	2171.93	58.0202	4.4536
Phel_contig_10036	1004	688.927	13	3.14591
Phel_contig_10037	2471	2155.93	657.19	50.8199
Phel_contig_10038	834	525.824	74	23.4622
Phel_contig_10039	1685	1369.93	50.5499	6.15176
Phel_contig_1004	1581	1265.93	182.76	24.0685
Phel_contig_10040	2252	1936.93	253.069	21.7822
Phel_contig_10041	1570	1254.93	62.5091	8.30427
Phel_contig_10042	516	251.119	2	1.32778
Phel_contig_10043	2675	2359.93	247	17.4492
Phel_contig_10044	2379	2063.93	235	18.9824
Phel_contig_10045	1053	737.927	6	1.35555
