target_id	length	eff_length	est_counts	tpm
Phel_contig_10112	841	508.745	31.9515	6.76929
Phel_contig_10113	1177	837.88	189	24.3127
Phel_contig_10114	630	320.242	52.3908	17.6331
Phel_contig_10115	691	372.968	12	3.46786
Phel_contig_10116	1824	1484.88	191	13.8642
Phel_contig_10117	510	226.227	61	29.0628
Phel_contig_10119	2988	2648.88	466.009	18.962
Phel_contig_1012	6979	6639.88	9612	156.029
Phel_contig_10120	1053	713.88	148	22.3454
Phel_contig_10121	2404	2064.88	379	19.7832
Phel_contig_10122	858	524.673	61	12.5312
Phel_contig_10123	1445	1105.88	8.12532	0.791927
Phel_contig_10124	1142	802.88	211	28.3259
Phel_contig_10125	786	458.029	139.137	32.7419
Phel_contig_10126	824	493.102	32	6.99464
Phel_contig_10127	6932	6592.88	1373.6	22.4562
Phel_contig_10128	954	616.024	43	7.52356
Phel_contig_10129	878	543.437	51	10.1152
Phel_contig_1013	4563	4223.88	5041.95	128.659
Phel_contig_10130	4942	4602.88	994.798	23.2947
Phel_contig_10131	2252	1912.88	480.235	27.0594
Phel_contig_10132	664	349.211	143	44.1368
Phel_contig_10133	958	619.9	2	0.347745
Phel_contig_10134	1692	1352.88	1346	107.235
Phel_contig_10135	1382	1042.88	18	1.86033
Phel_contig_10136	646	333.585	97.7998	31.5998
Phel_contig_10137	640	328.632	183.287	60.1139
Phel_contig_10138	2469	2129.88	753	38.1059
Phel_contig_10139	1003	663.88	61	9.90359
Phel_contig_1014	1097	757.88	60	8.53303
Phel_contig_10140	2077	1737.88	172.067	10.6716
Phel_contig_10141	574	274.395	32	12.5697
Phel_contig_10142	897	561.477	5	0.959821
Phel_contig_10143	1122	782.88	150.456	20.7142
Phel_contig_10144	3512	3172.88	131	4.4501
Phel_contig_10146	513	228.417	36.0821	17.0261
Phel_contig_10147	2552	2212.88	169.671	8.26421
Phel_contig_10148	1108	768.88	103.731	14.5413
Phel_contig_10149	1354	1014.88	356.616	37.8738
Phel_contig_1015	3671	3331.88	11059	357.749
Phel_contig_10150	874	539.642	314	62.7157
Phel_contig_10151	529	240.127	35.0725	15.7427
Phel_contig_10152	1158	818.88	27.0841	3.56489
Phel_contig_10153	609	302.93	6	2.13482
Phel_contig_10154	1123	783.88	186	25.575
Phel_contig_10155	1387	1047.88	283.567	29.1673
Phel_contig_10156	1485	1145.88	427.505	40.2119
Phel_contig_10157	1006	666.88	109	17.617
Phel_contig_10158	517	231.299	14	6.5239
Phel_contig_10159	2291	1951.88	407	22.4747
Phel_contig_1016	4907	4567.88	2712.67	64.0081
Phel_contig_10160	3679	3339.88	455	14.6836
Phel_contig_10161	1684	1344.88	90	7.21293
Phel_contig_10162	671	355.247	1.02263	0.310271
Phel_contig_10163	837	505.053	3	0.640232
Phel_contig_10164	1441	1101.88	33	3.22799
Phel_contig_10165	5653	5313.88	797	16.1659
Phel_contig_10166	1033	693.88	639	99.2588
Phel_contig_10167	1766	1426.88	121	9.14009
Phel_contig_10168	1047	707.88	17	2.58846
Phel_contig_10169	597	292.955	2.10517	0.774532
Phel_contig_1017	902	566.321	3196	608.27
Phel_contig_10170	867	533.033	74	14.9634
Phel_contig_10171	567	268.949	25	10.019
Phel_contig_10172	2093	1753.88	125	7.68179
Phel_contig_10173	4199	3859.88	384.623	10.7402
Phel_contig_10174	627	317.78	70.8212	24.0209
Phel_contig_10175	884	549.217	102.724	20.1595
Phel_contig_10176	566	268.286	2	0.803498
Phel_contig_10177	585	283.259	16.589	6.31235
Phel_contig_10178	1496	1156.88	509	47.4222
Phel_contig_10179	1152	812.88	113	14.9832
Phel_contig_1018	574	274.395	3382	1328.46
Phel_contig_10180	2385	2045.88	219.486	11.5632
Phel_contig_10181	2066	1726.88	14	0.873813
Phel_contig_10182	945	607.315	22	3.90447
Phel_contig_10183	1946	1606.88	287	19.2509
Phel_contig_10184	628	318.533	120.1	40.6389
Phel_contig_10186	1750	1410.88	171	13.0635
Phel_contig_10187	2451	2111.88	43	2.19458
Phel_contig_10188	2118	1778.88	574	34.7791
Phel_contig_10189	1187	847.88	1	0.127121
Phel_contig_1019	7548	7208.88	2724	40.7279
Phel_contig_10190	1424	1084.88	195	19.3734
Phel_contig_10191	1353	1013.88	231	24.5571
Phel_contig_10192	2452	2112.88	138	7.03974
Phel_contig_10193	981	642.189	186.424	31.2889
Phel_contig_10194	3454	3114.88	189	6.53993
Phel_contig_10195	851	518.186	5	1.04001
Phel_contig_10196	901	565.35	35.4938	6.76687
Phel_contig_10197	696	377.4	17	4.85511
Phel_contig_10198	1178	838.88	193	24.7976
Phel_contig_10199	616	308.682	102.231	35.6962
Phel_contig_102	8191	7851.88	5180.02	71.1067
Phel_contig_1020	589	286.586	18	6.7697
Phel_contig_10200	1433	1093.88	131	12.9079
Phel_contig_10201	2405	2065.88	54	2.81735
Phel_contig_10202	3208	2868.88	361	13.5627
Phel_contig_10203	560	263.825	707.808	289.169
Phel_contig_10204	733	409.549	23.0654	6.07027
Phel_contig_10205	692	373.871	180	51.8924
Phel_contig_10206	2052	1712.88	790	49.711
Phel_contig_10207	1324	984.88	42.9127	4.69629
Phel_contig_10208	874	539.642	2	0.399463
Phel_contig_10209	2534	2194.88	83	4.07587
Phel_contig_1021	2525	2185.88	2216	109.269
Phel_contig_10210	515	229.866	2.06307	0.967371
Phel_contig_10211	1261	921.88	26.917	3.14705
Phel_contig_10212	2958	2618.88	128.933	5.3064
Phel_contig_10213	1035	695.88	490	75.8952
Phel_contig_10214	750	425.122	169.876	43.0696
Phel_contig_10215	1092	752.88	72	10.3076
Phel_contig_10216	2521	2181.88	179	8.84249
Phel_contig_10217	760	434.295	217	53.8551
Phel_contig_10218	729	406.065	45	11.9446
Phel_contig_10219	954	616.024	135.828	23.7654
Phel_contig_1022	991	651.995	6061	1001.97
Phel_contig_10220	556	260.687	2	0.82692
Phel_contig_10221	818	487.488	96.2474	21.2803
Phel_contig_10222	4081	3741.88	326.738	9.41158
Phel_contig_10223	1922	1582.88	56	3.81323
Phel_contig_10224	927	589.989	84	15.3457
Phel_contig_10226	1611	1271.88	118	9.99973
Phel_contig_10227	3501	3161.88	202	6.88587
Phel_contig_10228	1725	1385.88	117.151	9.11112
Phel_contig_10229	2780	2440.88	488.402	21.5667
Phel_contig_1023	5769	5429.88	230.141	4.56832
Phel_contig_10230	1042	702.88	184.098	28.2306
Phel_contig_10231	2391	2051.88	109	5.72568
Phel_contig_10232	628	318.533	101.509	34.348
Phel_contig_10233	645	332.753	29	9.39353
Phel_contig_10234	854	520.924	34.4571	7.12946
Phel_contig_10235	2339	1999.88	287	15.4679
Phel_contig_10236	787	458.935	64	15.0308
Phel_contig_10237	1367	1027.88	75.2602	7.89179
Phel_contig_10238	1610	1270.88	17.1839	1.45737
Phel_contig_1024	903	567.279	15.7985	3.00172
Phel_contig_10240	727	404.316	62.5526	16.6754
Phel_contig_10241	1296	956.88	120	13.5169
Phel_contig_10242	754	428.738	1.1631	0.2924
Phel_contig_10243	1805	1465.88	56	4.11758
Phel_contig_10244	1450	1110.88	70	6.79178
Phel_contig_10245	538	247.028	13	5.67217
Phel_contig_10246	2598	2258.88	92.4442	4.41102
Phel_contig_10247	1658	1318.88	412.168	33.6838
Phel_contig_10248	1553	1213.88	375.645	33.3544
Phel_contig_10249	4929	4589.88	946	22.2148
Phel_contig_1025	2636	2296.88	1170.87	54.9442
Phel_contig_10250	628	318.533	38	12.8582
