target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	598.295	233	42.6297
Phel_contig_10	2138	1829.04	48304.1	2890.9
Phel_contig_100	10344	10035	1811	19.7547
Phel_contig_1000	4676	4367.04	6345	159.044
Phel_contig_10000	843	538.904	17	3.4531
Phel_contig_10001	1108	799.037	181	24.7961
Phel_contig_10002	3127	2818.04	190.744	7.40928
Phel_contig_10003	1120	811.037	37.1513	5.01424
Phel_contig_10004	712	416.79	42	11.0307
Phel_contig_10005	1319	1010.04	10	1.08376
Phel_contig_10006	861	556.047	24	4.72467
Phel_contig_10007	777	476.799	7	1.60707
Phel_contig_10008	510	243.513	4	1.79808
Phel_contig_10009	609	324.679	25.3474	8.54576
Phel_contig_1001	1473	1164.04	370	34.7942
Phel_contig_10010	771	471.173	13	3.02019
Phel_contig_10011	1568	1259.04	266.27	23.1502
Phel_contig_10012	692	398.728	464	127.383
Phel_contig_10013	2373	2064.04	75	3.97755
Phel_contig_10014	793	491.721	47.9952	10.6844
Phel_contig_10015	1463	1154.04	41.3962	3.92656
Phel_contig_10016	938	630.268	58.4768	10.1562
Phel_contig_10017	1069	760.037	323.506	46.5928
Phel_contig_10018	846	541.809	143.984	29.0898
Phel_contig_10019	679	386.965	22	6.22332
Phel_contig_1002	859	554.173	585	115.553
Phel_contig_10020	1174	865.037	85	10.7561
Phel_contig_10021	2110	1801.04	395	24.0074
Phel_contig_10022	806	503.89	31	6.73437
Phel_contig_10023	1575	1266.04	33	2.85324
Phel_contig_10024	928	620.518	25	4.41018
Phel_contig_10025	1488	1179.04	108	10.0269
Phel_contig_10026	598	315.137	98	34.0407
Phel_contig_10027	1401	1092.04	771.452	77.3291
Phel_contig_10028	543	269.707	2	0.811725
Phel_contig_10029	1102	793.037	25	3.45079
Phel_contig_1003	1146	837.037	249	32.5631
Phel_contig_10030	2857	2548.04	742	31.8764
Phel_contig_10031	2059	1750.04	421.899	26.3896
Phel_contig_10032	935	627.394	72	12.5621
Phel_contig_10033	516	248.173	1	0.44108
Phel_contig_10034	4128	3819.04	237.397	6.80446
Phel_contig_10035	2487	2178.04	59	2.96523
Phel_contig_10036	1004	695.037	9.26219	1.45874
Phel_contig_10037	2471	2162.04	383.118	19.3973
Phel_contig_10038	834	530.213	88	18.1678
Phel_contig_10039	1685	1376.04	37.24	2.96245
Phel_contig_1004	1581	1272.04	798.342	68.7006
Phel_contig_10040	2252	1943.04	182.603	10.2872
Phel_contig_10041	1570	1261.04	37.6123	3.26492
Phel_contig_10042	516	248.173	3	1.32324
Phel_contig_10043	2675	2366.04	493	22.8085
Phel_contig_10044	2379	2070.04	242	12.797
Phel_contig_10045	1053	744.037	53	7.79745
Phel_contig_10046	1354	1045.04	89.9572	9.42271
Phel_contig_10047	604	320.397	32	10.9328
Phel_contig_10048	4774	4465.04	223	5.46703
Phel_contig_10049	1759	1450.04	318	24.006
Phel_contig_1005	669	377.905	311	90.0843
Phel_contig_10050	2528	2219.04	80.9797	3.99469
Phel_contig_10051	991	682.14	6	0.962829
Phel_contig_10052	1533	1224.04	107	9.56887
Phel_contig_10053	1349	1040.04	100	10.525
Phel_contig_10054	842	537.918	0	0
Phel_contig_10055	1012	703.037	149.393	23.2607
Phel_contig_10056	605	321.278	283.921	96.736
Phel_contig_10057	565	287.636	0	0
Phel_contig_10058	1421	1112.04	1314	129.344
Phel_contig_10059	671	379.65	68.2084	19.6664
Phel_contig_1006	680	387.885	61.7814	17.4351
Phel_contig_10060	1142	833.037	74	9.72386
Phel_contig_10061	959	650.772	0	0
Phel_contig_10062	725	428.664	46	11.7466
Phel_contig_10063	519	250.496	348	152.072
Phel_contig_10064	1344	1035.04	493	52.139
Phel_contig_10065	650	360.686	58.6381	17.796
Phel_contig_10066	805	502.966	12.3242	2.68221
Phel_contig_10067	1839	1530.04	211.19	15.1093
Phel_contig_10068	1288	979.037	55	6.14943
Phel_contig_10069	2996	2687.04	116.12	4.73047
Phel_contig_1007	757	458.119	1250	298.678
Phel_contig_10070	2396	2087.04	389.74	20.4417
Phel_contig_10071	945	637.03	0	0
Phel_contig_10072	1011	702.037	49.0803	7.65277
Phel_contig_10073	1739	1430.04	540	41.335
Phel_contig_10074	857	552.298	119	23.5855
Phel_contig_10075	974	665.409	50	8.22532
Phel_contig_10076	591	309.258	30	10.6187
Phel_contig_10077	1218	909.037	31	3.73294
Phel_contig_10078	1722	1413.04	44	3.40856
Phel_contig_10079	4519	4210.04	391.236	10.1724
Phel_contig_1008	917	609.78	92.0161	16.5182
Phel_contig_10080	1179	870.037	102	12.8332
Phel_contig_10081	516	248.173	147	64.8388
Phel_contig_10082	762	462.896	27.8736	6.59144
Phel_contig_10083	762	462.896	13.3418	3.15502
Phel_contig_10084	648	358.911	24.2394	7.39276
Phel_contig_10085	993	684.106	66.5688	10.6517
Phel_contig_10086	1909	1600.04	0	0
Phel_contig_10087	1279	970.037	9.3407	1.05405
Phel_contig_10088	796	494.497	10	2.21365
Phel_contig_10089	995	686.071	0	0
Phel_contig_1009	2709	2400.04	1175.25	53.6025
Phel_contig_10090	2530	2221.04	73	3.59781
Phel_contig_10091	1233	924.037	57.626	6.82653
Phel_contig_10092	1180	871.037	57	7.16324
Phel_contig_10093	689	395.994	2	0.552857
Phel_contig_10094	1244	935.037	63.5594	7.44085
Phel_contig_10095	1435	1126.04	17.7112	1.72173
Phel_contig_10096	2449	2140.04	692.397	35.4165
