PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g13138.t1	0	0	16	0	0	0	1	0	0	0	0	0	0	12
g3867.t1	492	335	372	352	391	486	407	84	135	114	103	47	116	58
g10592.t1	0	0	0	0	0	0	0	2	3	0	0	5	0	4
g17098.t1	17	3	5	11	3	19	15	0	1	82	115	1	25	98
g13494.t1	0	0	23	32	0	45	63	0	53	0	17	0	57	36
g17013.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22904.t1	81	127	91	87	146	119	66	81	30	125	77	15	115	41
g3705.t1	3	19	13	64	4	3	68	4	11	48	53	5	30	9
g24038.t1	54	86	106	65	79	87	120	52	143	63	52	52	78	62
g96.t2	1	5	3	27	7	0	8	2	0	7	0	0	2	3
g7851.t1	37	39	90	104	26	61	210	44	67	100	156	58	251	120
g21019.t1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
g23769.t1	4	4	11	43	9	36	46	3	6	72	26	1	17	26
g14710.t1	112	66	94	69	145	47	61	76	59	0	29	28	63	11
g15594.t1	37	41	86	109	311	45	83	184	405	278	210	569	461	408
g2070.t1	60	110	122	60	29	98	168	32	21	125	43	12	36	26
g5336.t1	0	1	0	0	8	4	0	2	0	194	0	0	6	28
g6909.t1	0	4	0	0	3	4	1	0	1	1	2	0	0	0
g2299.t3	167	131	150	128	62	162	181	113	102	67	102	68	97	60
g4764.t1	135	66	87	60	14	98	130	76	89	52	102	51	77	38
g11286.t1	0	0	0	31	5	23	0	0	0	74	0	0	33	9
g9333.t1	0	2	4	0	0	1	2	0	4	1	0	1	0	0
g22244.t1	7	0	0	0	0	0	0	0	0	0	0	0	3	0
g14746.t1	19	20	13	23	11	16	25	8	4	8	5	1	5	9
g20747.t1	66	79	123	68	44	85	119	44	18	15	16	5	14	21
g6632.t1	66	55	86	71	82	77	120	38	74	120	82	64	159	59
g23178.t1	66	47	103	205	86	180	80	12	116	289	253	20	214	302
g10766.t1	243	207	166	150	308	211	261	459	288	343	361	517	515	567
g18536.t1	30	12	38	42	1	20	121	15	45	136	31	29	38	56
g18620.t1	13	10	12	8	10	16	40	4	0	90	38	2	30	16
g14024.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g23227.t1	110	68	83	73	166	122	123	45	0	178	54	66	21	65
g2777.t1	45	69	62	90	37	58	81	59	46	79	66	46	72	79
g14006.t1	24	32	23	20	7	39	53	6	3	13	14	3	7	7
g13933.t1	182	65	73	51	117	88	82	143	82	114	109	114	111	74
g17936.t1	0	0	0	3	0	0	0	1	1	6	0	0	1	1
g13127.t1	105	5	0	33	0	76	0	9	6	1143	1712	23	159	1801
g12683.t1	327	1126	274	1533	68	674	995	60	64	3800	13024	956	9504	338
g386.t1	39	105	71	74	78	74	115	42	29	82	39	28	35	77
g3694.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g18205.t1	73	37	34	34	93	58	69	75	48	35	45	27	65	38
g4603.t1	75	164	289	137	181	91	188	78	41	56	39	29	63	15
g17533.t1	0	1	6	0	0	0	3	0	1	2	1	0	0	0
g6508.t1	159	312	246	202	414	199	225	190	199	133	133	27	156	77
g18292.t1	7	10	12	5	8	6	19	4	0	2	2	1	1	1
g23316.t1	7	2	0	2	14	8	0	2	3	3	1	1	1	10
g13985.t1	53	74	122	51	16	58	130	34	31	36	33	3	26	31
g18510.t1	34	5	25	17	41	30	36	27	39	13	14	19	21	9
g5883.t1	3	3	1	7	0	1	2	3	1	1	0	0	2	0
g14288.t1	245	565	418	360	0	352	424	110	194	58	232	33	130	125
g22928.t1	0	1	2	5	2	36	16	1	1	52	40	0	41	0
g6266.t1	90	133	211	146	108	169	146	67	25	179	85	31	94	46
g17324.t1	0	0	2	0	0	0	3	0	0	0	0	0	1	0
g8066.t1	7	1	6	0	9	0	70	1	0	1	0	0	3	0
g6878.t1	1	1	0	2	0	0	0	0	1	0	2	0	4	1
g4482.t1	28	53	51	46	40	37	106	1	18	29	56	6	14	4
g18462.t1	12	22	18	17	25	15	26	11	12	13	16	7	34	16
g331.t1	0	0	2	0	0	0	1	0	1	0	4	2	0	0
g19210.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6101.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g9624.t1	8	19	31	49	6	31	55	5	19	154	44	3	46	34
g14046.t1	374	206	297	278	296	365	314	1232	226	322	452	260	504	130
g9893.t1	15	31	39	28	30	28	45	19	17	0	7	17	23	7
g18493.t1	2167	2577	2634	2765	3508	2148	2979	3249	3198	3559	2156	3239	3541	3654
g16115.t1	97	125	135	99	113	134	237	73	68	100	88	34	112	47
g5927.t2	0	29	1	17	0	0	14	4	6	4	11	2	2	4
g6641.t1	10	33	21	22	1	14	39	14	6	12	8	2	22	10
g7011.t1	0	0	0	1	21	0	0	0	0	0	0	0	0	0
g17671.t1	411	477	466	305	263	327	436	462	602	290	360	480	507	344
g6120.t1	84	4	1	5	1	6	0	2	5	42	388	4	8	546
g15686.t1	6	42	16	12	0	5	27	13	6	21	12	0	2	8
g4511.t2	8	15	14	21	35	0	12	7	9	50	42	3	76	23
g16405.t1	98	137	109	115	109	96	182	128	81	40	44	16	41	25
g12900.t1	126	175	168	127	102	123	181	165	156	253	249	231	394	225
g489.t1	12	49	20	15	6	9	52	2	3	5	12	5	5	5
g20709.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g8960.t1	2	0	3	0	0	1	0	1	0	16	1	0	2	0
g5841.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g23663.t1	129	260	324	196	193	167	312	393	308	160	315	268	246	333
g17958.t1	4	2	11	14	0	11	15	2	5	16	21	0	7	3
g6646.t2	27	0	25	63	0	38	0	40	0	0	4	0	5	106
g14647.t1	140	195	143	128	257	126	194	128	96	35	63	28	75	29
g18127.t1	7	66	40	49	20	62	77	12	6	21	19	5	10	9
g1622.t1	160	152	240	194	50	162	199	110	67	109	111	25	76	24
g20503.t1	23	181	36	237	0	64	177	88	127	21	36	105	170	59
g22894.t1	4	0	0	0	0	0	0	0	0	7	1	0	0	0
g8310.t1	3	2	5	4	8	0	8	1	0	5	19	19	29	61
g1745.t1	592	670	686	582	723	801	1133	672	1619	601	710	1374	886	631
g16317.t1	10	7	39	47	3	5	37	0	0	146	119	2	63	134
g18390.t1	34	58	39	31	9	21	17	28	25	34	26	29	17	33
g20811.t1	2	2	1	0	0	2	2	2	3	2	1	0	2	0
g20731.t1	62	52	53	43	47	58	85	47	35	60	46	25	54	48
g19854.t1	1	1	1	0	0	4	1	0	1	0	0	0	0	0
g13154.t1	2	0	0	1	0	0	1	0	0	4	0	0	0	0
g22157.t1	13092	5912	9508	7628	14967	7963	5805	3399	3883	358	817	1429	819	1234
g2846.t1	219	107	163	153	475	153	249	586	786	350	659	1100	551	847
g1942.t1	14	9	9	12	6	12	11	5	15	13	28	6	6	16
g22559.t4	19	22	0	18	0	48	0	19	34	0	0	37	0	17
g17746.t1	3	10	6	13	0	7	7	1	2	2	2	0	3	2
g15518.t2	385	924	1356	442	721	708	1631	36	61	94	0	13	152	0
g23165.t1	0	2	5	0	0	6	2	1	0	0	2	0	0	0
g18435.t1	5	1	0	6	9	0	0	0	5	1	2	1	2	0
g6714.t1	9889	5781	9501	4949	8410	6067	6711	3722	4387	1872	1698	2145	4545	1519
g9216.t1	728	518	429	351	471	279	634	692	452	87	373	215	312	298
g10845.t1	10	29	31	9	45	9	53	11	0	97	38	12	29	49
g6633.t1	13	5	0	6	6	2	7	3	4	2	10	8	7	7
g22339.t1	107	130	195	202	125	158	434	112	235	4613	497	43	1432	75
g11762.t1	0	0	0	0	0	0	2	0	1	1	0	1	2	0
g23545.t2	0	0	51	0	0	0	35	0	7	0	29	4	6	0
g17978.t1	26	36	39	30	22	18	30	28	42	15	23	36	43	43
g16087.t1	3	0	0	0	0	2	0	1	0	2	0	0	1	0
g5004.t1	0	0	6	1	0	1	1	1	0	0	2	0	1	0
g18725.t3	0	0	0	0	0	0	0	5	0	0	0	0	0	0
g7129.t1	1	0	0	1	1	1	0	1	0	1	0	0	2	0
g3675.t1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
g20187.t1	15	0	17	1	0	15	0	0	26	1	0	0	92	0
g16705.t1	69	158	131	80	155	85	152	102	90	164	91	54	110	93
g8316.t1	1	0	2	1	0	0	0	1	0	0	0	0	0	0
g23237.t1	144	54	95	394	123	172	177	0	94	68	0	87	233	102
g7668.t2	561	705	1286	701	878	682	737	1008	12530	2206	1665	12576	4307	4617
g23731.t1	3	0	1	0	0	1	0	8	6	5	1	2	0	8
g24034.t2	1328	848	1000	834	783	834	1146	1081	714	947	837	782	1186	893
g1471.t1	25	25	14	23	18	27	26	15	2	10	7	12	36	44
g8357.t2	707	763	937	665	735	547	923	418	403	383	568	586	671	718
g19527.t1	79	144	94	96	19	89	142	20	37	30	66	13	58	38
g20746.t1	12	12	32	8	16	16	13	3	4	4	8	1	3	0
g7421.t1	2	0	0	0	0	0	0	0	0	2	8	0	3	8
g20906.t1	90	136	117	130	107	108	202	59	66	79	101	32	46	45
g10586.t1	27	36	13	18	35	18	38	28	30	1124	585	135	298	794
g8063.t1	1	13	10	11	2	9	5	9	6	7	4	0	4	1
g22583.t1	17	16	28	40	0	14	20	3	5	724	121	5	225	40
g19069.t1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g15652.t1	53	66	54	39	49	61	91	6	34	17	32	1	20	8
g8687.t1	13	49	24	25	34	26	64	11	7	63	10	5	28	8
g9524.t1	2	11	15	8	8	6	17	1	0	3	2	4	2	2
g3596.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g17840.t1	4	1	3	1	0	0	13	0	0	132	64	2	58	45
g7424.t1	1	0	0	1	0	0	0	0	2	0	0	0	0	0
g11921.t1	74	83	95	65	20	72	123	58	60	42	31	13	26	19
g15772.t1	34	52	73	36	1	37	104	53	76	85	47	77	75	43
g7587.t1	2	0	0	0	0	3	3	0	0	4	0	0	0	0
g17308.t1	24	85	26	17	26	38	45	6	8	31	16	10	9	4
g16037.t1	2	0	0	0	0	0	1	3	0	0	0	0	0	7
g22667.t1	126	112	119	109	373	129	201	111	146	151	147	82	173	127
g13458.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22369.t1	5	0	0	0	0	0	0	0	0	0	16	0	0	13
g11202.t1	29	86	41	23	13	35	85	4	12	10	5	7	17	6
g12006.t1	16	2	2	14	2	8	3	0	1	69	64	1	7	83
g11334.t1	0	0	13	24	0	0	17	0	0	32	14	0	20	7
g20323.t1	87	106	68	108	114	95	146	70	23	80	52	17	60	55
g10010.t1	30	27	14	23	17	75	68	10	15	12	16	8	14	36
g10013.t1	22	25	19	45	0	0	40	0	15	110	83	0	62	38
g10571.t1	240	305	262	255	415	241	292	117	147	88	94	42	95	48
g23979.t1	18	22	5	8	9	1	27	0	10	10	0	3	13	0
g5016.t1	0	4	4	42	0	3	5	0	0	16	7	0	17	14
g2719.t1	16	23	24	4	27	0	22	10	5	11	8	0	1	14
g13601.t1	177	0	0	19	6	14	0	2	0	22	437	1	2	159
g2320.t1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
g19129.t1	1	0	5	8	0	6	18	0	0	15	11	0	15	1
g1405.t1	3	3	3	8	0	3	6	5	3	4	0	2	2	0
g15742.t1	0	0	3	0	0	0	3	4	0	26	3	0	14	8
g13339.t1	151	150	165	89	83	160	145	151	77	30	79	54	53	43
g12720.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g4301.t2	0	0	0	0	75	0	4	8	0	0	0	0	0	0
g6111.t1	72	45	41	47	60	56	66	93	89	50	67	109	145	49
g8864.t1	6	0	1	0	5	5	0	3	1	1	3	1	3	2
g517.t1	46	85	69	51	34	42	93	25	29	23	33	14	28	15
g8191.t1	3	6	13	10	0	32	23	2	2	6	10	5	8	1
g6907.t1	0	2	1	0	0	1	2	0	0	1	0	0	0	0
g21897.t1	7	3	8	16	26	10	15	12	2	6	17	13	11	5
g13249.t1	6	8	11	7	0	2	31	7	8	36	24	2	4	7
g744.t1	0	0	1	0	1	0	1	4	0	5	0	1	3	0
g23307.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g18234.t1	0	11	3	10	20	3	8	8	0	1	8	6	2	4
g10964.t2	34	74	310	67	232	147	223	0	209	277	162	184	356	240
g3984.t1	5	1	0	2	10	4	0	0	0	8	8	0	3	36
g21686.t1	29	23	15	24	19	39	29	22	21	7	7	4	34	12
g8764.t1	0	0	0	0	6	0	6	0	0	0	0	0	0	0
g1381.t1	1	0	0	0	0	0	0	8	0	1	0	0	0	0
g733.t4	39	12	22	26	11	31	29	30	48	41	37	59	61	52
g18682.t2	0	2	2	2	0	1	5	3	20	3	5	92	8	27
g8262.t1	4	4	2	3	27	3	1	22	6	2	1	0	3	1
g18096.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g4496.t1	5	7	1	10	0	0	5	0	1	141	17	0	15	9
g18674.t1	197	136	174	153	139	151	233	176	234	185	167	361	382	298
g22548.t1	15	3	3	0	0	0	1	0	0	0	0	0	6	0
g10986.t1	3	0	2	2	0	2	1	2	1	1	1	1	0	1
g21670.t1	16	34	39	32	29	18	40	18	6	8	20	13	22	8
g19197.t1	0	4	35	4	0	9	3	2	0	11	11	0	11	20
g8257.t1	1	0	0	0	0	0	2	0	0	3	0	0	2	0
g4333.t1	13	37	18	25	28	27	34	34	7	18	11	10	20	8
g13225.t1	102	148	146	109	109	141	125	46	41	59	70	23	29	43
g20921.t1	0	1	0	1	0	0	0	0	2	0	0	0	0	0
g8649.t1	85	119	134	94	161	112	177	119	104	96	93	52	100	62
g16057.t1	0	0	0	0	0	0	0	0	1	0	2	0	0	0
g5303.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g963.t1	108	142	151	134	124	129	162	79	33	142	111	19	54	86
g10499.t1	744	140	230	228	488	284	259	1126	1168	373	635	653	922	825
g21455.t1	11	23	75	46	12	11	90	35	8	72	49	0	57	56
g6851.t1	85	103	67	89	61	114	166	11	7	9	24	6	12	22
g6539.t1	1	1	1	0	0	0	3	0	0	7	7	0	8	1
g833.t1	149	76	96	76	151	75	146	91	246	94	66	59	109	57
g18526.t1	0	0	1	3	4	6	10	1	0	1	0	2	8	1
g11035.t1	3	0	4	1	9	8	6	2	8	7	1	2	3	1
g10993.t1	2	0	0	1	0	3	0	0	6	1	0	0	0	0
g11433.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6720.t1	0	0	1	1	0	0	2	0	0	1	0	0	0	1
g5517.t1	32	52	46	43	19	40	42	12	17	25	26	1	8	11
g14555.t1	12	14	40	97	30	32	70	6	9	263	163	6	166	66
g16727.t1	15	23	13	28	1	19	8	36	14	43	11	2	8	7
g3350.t1	40	31	50	43	41	31	44	25	19	37	25	10	20	25
g336.t1	3	17	10	12	0	10	12	4	4	27	21	0	9	11
g18513.t1	2843	2122	2734	2303	3081	2691	2777	2421	2602	2072	1720	1471	2148	1751
g21372.t1	0	0	0	0	0	0	0	0	24	0	0	0	10	0
g12670.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g392.t1	608	807	866	778	847	727	994	228	226	1329	1177	204	649	936
g5795.t1	0	1	0	1	0	1	0	10	0	0	9	5	0	0
g20396.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g7173.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6520.t1	15	33	47	15	2	29	63	4	14	54	39	11	28	28
g1954.t1	4	3	11	2	7	11	28	4	6	9	12	6	14	26
g20551.t1	3	0	0	7	0	0	8	2	0	0	0	0	1	0
g17685.t1	11	24	22	11	61	5	12	6	3	6	18	0	4	6
g14505.t1	0	1	5	7	0	3	0	0	3	16	8	1	13	5
g22792.t1	7	40	34	27	74	31	50	19	1	18	9	11	22	10
g13210.t1	0	3	2	4	1	5	1	0	0	4	13	1	8	4
g3100.t1	31	76	96	51	13	46	125	13	26	27	25	6	16	17
g20114.t1	1	0	8	0	0	0	0	2	0	1	0	0	5	0
g7614.t1	36	30	35	24	55	44	46	33	17	96	43	10	31	39
g19425.t1	1	8	5	2	9	1	0	7	2	0	6	0	1	1
g20287.t1	4	0	6	0	0	4	1	0	0	4	0	0	4	0
g3515.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g6413.t1	14	20	24	14	28	20	43	19	6	30	16	7	21	17
g11225.t1	0	0	1	1	0	3	1	3	0	2	2	1	13	2
g11043.t1	15	20	23	1	27	31	20	6	0	4	5	2	8	5
g18565.t1	153	180	201	95	46	133	175	86	154	70	63	37	101	50
g1400.t1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
g15312.t1	2	0	3	0	6	1	2	2	2	9	0	2	12	0
g20466.t1	65	40	78	57	53	61	60	3	6	24	32	12	6	21
g6069.t1	7	58	43	47	39	36	68	3	0	62	55	0	10	17
g6961.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g12796.t1	6	2	4	5	2	20	15	1	6	0	0	0	10	2
g563.t1	3	4	21	53	0	13	42	1	10	8	30	0	12	7
g12390.t1	0	0	0	4	0	0	3	0	0	2	5	2	0	0
g20772.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g19794.t1	141	230	202	108	197	227	314	151	180	199	280	137	209	200
g13001.t1	1170	525	467	632	934	599	794	3347	1043	1386	2648	3775	3896	5428
g22252.t1	385	241	374	238	302	365	419	202	172	184	550	45	193	307
g10802.t1	4	6	25	91	0	11	68	8	14	47	64	4	111	17
g5638.t1	0	0	0	0	0	0	68	0	0	162	89	0	141	26
g7831.t1	100	103	110	79	91	97	116	55	21	76	44	11	55	32
g15351.t1	2	0	11	0	0	0	0	0	0	2	2	0	1	0
g10907.t1	9	25	20	16	15	18	19	12	9	13	11	16	8	2
g14395.t1	19	17	89	154	12	44	276	19	23	202	187	2	174	141
g14235.t1	206	150	203	139	255	168	227	188	198	80	66	65	107	42
g18969.t1	18	12	27	9	14	19	32	3	7	8	8	4	11	2
g16852.t1	24	27	30	29	64	23	26	14	12	29	5	6	17	11
g6965.t1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
g16012.t1	4	9	1	7	0	10	3	8	7	9	0	13	22	4
g21873.t1	0	0	0	2	1	0	3	0	0	0	0	1	3	0
g15418.t4	23	0	11	25	0	0	18	0	0	182	85	0	75	146
g22722.t1	2	0	0	0	4	0	0	1	0	7	1	0	4	1
g18936.t1	0	2	0	0	24	1	0	8	0	0	0	0	0	1
g7276.t1	6	0	2	2	0	0	2	0	0	0	0	0	0	0
g22760.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22220.t1	175	187	143	173	108	141	229	109	131	109	130	37	101	74
g7594.t1	0	0	0	0	0	0	0	0	1	21	0	0	0	0
g16339.t1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
g4822.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g23632.t1	10	17	17	12	7	19	17	0	2	3	3	2	13	15
g18959.t1	0	0	0	0	2	0	3	0	0	3	1	0	1	1
g12013.t1	1	1	0	0	0	3	1	1	0	50	15	0	3	22
g23730.t1	28	57	51	63	63	46	66	180	124	131	130	90	176	267
g7169.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g8351.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g12221.t1	49	43	59	34	66	40	82	3	2	146	67	3	55	14
g12423.t1	0	0	0	1	0	0	0	0	0	5	1	0	1	1
g17976.t1	78	85	83	79	64	60	120	61	65	37	59	14	49	34
g7149.t1	0	2	0	0	0	10	0	3	0	0	0	0	1	0
g1769.t2	9	15	17	27	0	26	34	4	0	72	52	1	26	77
g20612.t1	11	5	7	7	0	4	1	4	0	86	20	3	21	37
g11115.t1	151	262	144	90	170	186	391	151	113	108	184	178	163	195
g22648.t1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
g2695.t1	1	1	22	2	2	3	17	7	1	11	1	0	5	1
g4683.t1	274	140	177	140	104	186	164	229	316	194	121	144	157	122
g5825.t1	23	58	55	51	23	35	60	41	27	137	60	6	69	60
g23610.t2	7	7	0	8	0	0	5	12	0	25	6	2	0	28
g22680.t1	38	40	31	25	19	18	32	11	8	9	9	5	11	6
g12561.t1	34	86	164	122	97	48	93	80	39	49	80	29	96	47
g18195.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g5606.t1	0	2	1	0	8	0	0	0	0	4	0	1	0	0
g13193.t1	179	144	227	177	140	142	170	475	393	246	294	298	351	257
g4463.t1	35	47	55	28	54	32	75	1	1	11	10	0	4	7
g6060.t3	70	0	217	0	0	87	0	0	0	288	134	0	84	460
g18280.t1	112	121	80	75	121	136	135	51	44	61	62	21	63	57
g20488.t1	33	61	64	34	67	44	61	13	19	49	25	21	25	16
g19080.t1	1410	2326	3004	28	1226	8	4142	207	152	1039	435	10	221	15
g9789.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g7057.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g11938.t1	3	2	1	0	0	0	0	2	5	4	1	0	2	0
g18850.t1	1	1	0	0	0	0	0	1	1	13	0	0	1	0
g23406.t1	0	0	0	3	0	0	0	0	4	0	0	0	0	0
g21475.t1	0	0	0	6	0	0	1	0	0	0	0	0	2	0
g15709.t1	14	3	4	2	3	13	11	4	1	145	44	0	62	80
g5178.t1	129	174	189	177	195	207	272	82	26	32	71	33	84	26
g23120.t1	24	20	26	2	28	33	33	4	4	6	6	1	18	0
g620.t1	20	25	33	16	7	24	41	6	7	53	248	5	13	195
g3242.t1	5	8	3	1	5	4	12	1	9	22	9	3	14	12
g5652.t1	1	3	0	0	0	0	2	1	3	0	0	0	0	0
g18156.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g7854.t3	32	22	88	76	19	74	112	4	3	126	112	3	44	43
g3831.t1	391	383	417	324	315	453	500	68	42	145	441	37	73	273
g19652.t1	14	46	21	19	43	24	36	16	10	19	19	6	26	10
g12212.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g11289.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g21160.t1	83	73	110	43	128	72	107	52	58	30	42	19	61	8
g22751.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
g7016.t1	0	1	0	0	1	1	0	3	0	0	1	0	0	0
g17045.t1	11	16	23	19	1	12	16	5	39	19	9	9	14	9
g18362.t1	2	10	11	7	0	7	11	6	6	7	3	5	7	2
g14194.t1	18	10	44	19	1	33	21	3	16	18	8	4	10	5
g150.t1	0	0	0	0	0	0	0	1	2	0	4	0	4	2
g5975.t1	17	36	52	36	41	33	32	27	9	13	19	6	23	6
g11206.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g8824.t1	25	83	61	133	88	21	59	23	23	21	28	19	25	20
g13664.t1	376	464	984	494	606	415	773	344	641	1009	524	505	472	547
g12146.t1	1	17	14	22	1	32	50	111	97	151	72	325	153	96
g2269.t1	53	57	44	51	82	45	53	44	61	24	29	8	28	27
g7259.t1	20	0	9	0	0	0	0	0	7	12	0	3	8	3
g16030.t1	0	2	0	4	0	0	6	0	0	16	6	0	6	5
g23513.t1	174	547	458	404	351	376	514	130	146	212	228	0	128	156
g18752.t1	4	2	4	26	0	19	28	2	25	38	11	177	38	34
g24000.t1	89	218	277	374	333	144	274	25	22	88	143	34	167	106
g17127.t1	305	321	339	278	361	404	589	198	244	170	219	192	556	146
g4271.t1	207	204	190	121	203	204	262	136	105	76	112	32	77	70
g12963.t1	0	4	6	10	0	3	5	1	3	10	4	0	4	3
g6556.t1	102	99	180	130	162	214	258	18	28	41	229	2	34	61
g10466.t1	206	213	220	166	168	169	383	337	1695	1120	1228	1636	1686	1332
g222.t1	25	13	33	73	1	0	17	9	25	18	85	3	102	6
g958.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g20788.t1	232	230	297	241	350	191	313	182	169	243	183	107	239	194
g7955.t1	216	181	180	112	174	113	133	84	318	112	175	319	111	76
g2390.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g10582.t1	15	10	13	2	20	17	13	2	4	8	5	0	3	1
g20332.t2	317	379	359	449	699	310	620	298	227	480	476	407	735	360
g21161.t1	2	1	1	2	0	5	0	0	3	5	4	0	0	1
g8611.t1	1	11	3	5	1	3	29	0	0	4	3	1	2	2
g9911.t1	134	219	241	242	343	167	238	275	162	267	235	196	314	198
g1790.t1	11	2	4	5	79	1	89	2	7	0	2	0	6	0
g15037.t1	287	430	443	369	187	395	564	381	401	277	352	360	468	360
g17441.t1	0	0	0	0	0	0	1	2	0	3	0	0	1	0
g8511.t3	0	0	0	15	0	0	0	0	0	0	0	0	3	0
g18455.t1	0	0	127	289	0	259	843	409	328	218	2	0	391	0
g20446.t1	44	48	48	29	52	38	73	31	6	32	55	33	45	52
g3758.t1	0	2	0	0	0	0	0	7	0	2	2	2	3	2
g6391.t1	6	5	10	77	5	19	19	3	7	166	10	0	20	9
g3250.t1	159	183	171	147	60	158	338	94	3170	889	770	1720	1480	596
g4051.t1	0	0	0	0	0	1	1	0	0	0	2	0	2	0
g2215.t1	28	46	35	23	16	41	59	14	17	5	5	2	4	1
g7690.t1	11	19	23	18	20	16	21	10	1	21	14	4	15	5
g18822.t1	12	7	7	5	8	2	6	2	2	10	2	1	4	1
g23923.t1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
g23250.t5	0	8	6	0	43	0	0	0	0	46	0	0	0	17
g2202.t1	1	7	19	0	30	1	6	8	15	0	0	0	0	6
g18154.t1	0	0	1	2	0	0	0	0	0	1	0	0	1	0
g13858.t1	308	236	303	215	234	187	274	340	407	421	372	394	539	372
g76.t1	94	140	147	109	92	62	116	115	88	93	118	94	105	108
g6137.t1	232	371	375	317	186	290	333	159	203	177	180	71	149	89
g23611.t1	5	0	0	11	5	0	0	3	2	12	9	0	0	0
g17941.t1	1	0	0	0	0	0	0	1	1	1	0	0	6	0
g7148.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g1147.t4	18	17	8	45	4	20	48	46	39	54	72	14	132	35
g10572.t1	26	17	34	0	12	5	67	32	52	59	60	47	111	83
g19834.t1	719	518	486	482	871	753	593	553	514	423	469	564	506	458
g1800.t1	0	0	0	0	11	5	3	7	0	0	1	0	0	0
g8325.t1	0	0	2	0	0	3	0	0	4	10	0	47	161	83
g9921.t1	55	122	274	1816	52	66	1261	61	53	167	901	8	209	204
g9747.t1	16	35	40	39	4	24	90	20	45	29	17	56	24	8
g10361.t1	0	0	1	0	0	0	3	0	0	0	0	0	0	0
g6716.t1	11	18	45	12	6	19	22	4	10	34	18	0	14	14
g9724.t1	36	40	54	24	9	45	55	23	76	65	48	49	77	45
g5796.t1	0	14	17	33	3	11	32	18	46	29	23	82	30	14
g23295.t2	64	67	45	52	205	45	73	17	11	11	0	0	0	0
g6319.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g4754.t1	105	100	125	93	64	63	128	71	90	36	64	102	135	95
g17558.t1	9	13	21	9	15	9	16	6	4	16	9	0	14	4
g15757.t1	0	45	19	23	0	12	10	5	5	149	32	4	29	7
g21921.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g1803.t1	14	32	1709	1452	95	124	104	51	78	56	74	268	88	278
g19999.t1	29	53	44	94	47	14	23	123	80	97	84	360	53	101
g16441.t1	10	16	8	1	12	18	8	6	5	4	0	2	0	5
g18442.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2639.t1	0	0	0	0	0	0	0	1	0	36	0	18	0	0
g16046.t1	67	34	86	58	0	210	316	30	0	403	378	27	619	22
