PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g10808.t1	0	0	0	0	0	3	0	1	1	28	3	1	12	10
g5982.t1	208	285	285	249	385	231	331	164	866	2185	1009	3034	2945	1969
g2142.t1	2	4	1	8	18	3	3	1	1	0	0	0	0	0
g2235.t1	1	0	0	0	0	0	0	3	0	1	0	0	1	0
g8385.t1	25	42	110	29	267	120	258	28	11	8	15	12	15	9
g20826.t1	26	24	11	23	38	38	40	12	21	38	60	96	117	45
g15373.t1	25	59	29	43	51	22	40	12	22	55	20	6	16	27
g19136.t1	4	0	0	0	0	5	0	0	0	32	38	4	74	498
g2121.t2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
g7461.t2	0	15	27	22	27	25	57	11	10	31	23	6	19	0
g2229.t1	3	19	3	15	49	74	7	5	12	10	12	0	3	5
g723.t1	49	50	60	52	95	50	70	100	116	141	95	118	116	83
g22146.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g10360.t1	4	19	5	8	20	4	7	3	1	18	5	1	5	2
g2318.t1	6	0	0	0	0	3	4	0	2	3	3	1	0	0
g7990.t1	0	0	0	0	0	0	0	4	0	1	0	0	0	0
g24040.t1	15	22	23	7	8	10	46	15	7	8	13	1	6	3
g1598.t1	12	20	25	30	51	33	19	0	10	85	7	5	21	9
g3316.t2	417	416	389	406	478	403	534	432	366	374	451	286	461	380
g15921.t1	1	0	1	3	0	1	2	0	1	2	0	1	1	1
g22927.t1	13	5	7	17	9	11	16	2	9	50	29	6	20	38
g7952.t1	2918	4474	4700	4331	1967	2977	4207	3614	4158	6046	4131	3115	4266	4639
g19502.t1	68	87	32	34	35	30	74	20	21	45	25	3	25	15
g1062.t1	32	14	24	16	2	17	19	27	3	57	356	128	81	469
g8591.t1	997	1371	852	639	591	1200	2197	571	732	348	402	686	440	540
g13525.t1	0	0	0	12	81	0	2	21	0	0	0	9	0	2
g16324.t1	35	92	112	47	102	46	109	62	81	61	65	146	103	336
g10160.t2	0	0	3	0	0	0	2	0	0	0	0	0	0	0
g22452.t1	0	0	0	0	0	0	0	0	1	3	3	0	4	0
g18171.t1	0	0	0	0	0	0	0	0	0	0	0	0	5	0
g19752.t1	0	0	2	0	0	0	0	0	0	2	0	0	0	0
g5801.t1	4	4	4	12	0	1	2	2	0	251	20	2	10	14
g812.t1	0	3	6	9	0	3	8	8	3	0	4	0	5	0
g2731.t3	7291	3967	2064	5339	2321	5296	4729	7645	2963	1523	3694	4370	4822	6144
g7294.t1	2	1	1	0	0	0	0	1	0	1	2	0	2	0
g19298.t1	0	0	0	0	0	0	0	2	0	0	0	0	1	1
g16884.t1	13	11	27	31	8	20	57	6	6	27	34	0	14	19
g1250.t2	41	46	42	62	102	74	75	50	42	31	26	34	47	43
g1042.t1	28	33	14	20	9	33	15	19	45	42	24	34	28	12
g20808.t1	34	87	120	104	37	63	133	37	42	50	27	16	39	34
g11151.t1	123	86	92	54	68	96	123	33	29	15	29	9	22	13
g19190.t1	171	153	175	161	185	193	192	80	73	105	170	34	87	57
g663.t1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
g10188.t1	922	1158	1746	883	909	1326	1594	548	868	377	558	277	339	270
g5187.t1	4	24	7	25	0	9	0	0	0	0	5	1	0	0
g1531.t1	44	10	15	13	40	45	15	17	13	65	14	28	62	49
g9902.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g16945.t1	5	5	3	6	4	5	7	41	40	31	39	99	60	50
g18216.t1	6	0	0	8	0	9	29	1	0	3	6	2	2	0
g2326.t1	6	3	2	2	0	8	3	2	10	12	5	1	11	3
g20442.t1	1115	1339	902	761	883	1003	1920	1230	1659	1350	1104	2208	1874	1307
g23016.t1	0	4	0	0	0	0	2	0	0	0	0	0	0	0
g24166.t1	49	66	49	36	40	50	99	24	25	33	58	22	23	30
g8635.t1	9	4	2	8	29	28	20	7	10	188	33	2	36	100
g15272.t1	261	392	422	295	284	327	684	113	97	934	572	101	384	418
g9139.t1	182	217	202	158	299	111	205	109	120	90	93	49	78	39
g16961.t1	57	52	39	54	52	58	88	46	31	18	37	8	20	6
g15098.t1	535	423	411	320	516	357	537	272	137	639	335	93	552	181
g8030.t1	67	107	122	89	91	70	116	66	52	64	35	14	37	40
g19862.t1	1	3	2	1	0	1	5	1	1	18	4	0	9	1
g22589.t1	1380	1911	1149	1283	1533	1482	2255	686	287	380	446	881	1212	1155
g14503.t1	14	46	44	58	15	52	22	27	44	46	27	7	56	3
g1097.t1	20	35	5	5	53	37	57	32	5	16	24	12	13	0
