PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g16945.t1	41	11	40	31	39	99	60	50
g18216.t1	1	9	0	3	6	2	2	0
g2326.t1	2	177	10	12	5	1	11	3
g20442.t1	1230	183	1659	1350	1104	2208	1874	1307
g23016.t1	0	6	0	0	0	0	0	0
g24166.t1	24	12	25	33	58	22	23	30
g8635.t1	7	57	10	188	33	2	36	100
g15272.t1	113	55	97	934	572	101	384	418
g9139.t1	109	23	120	90	93	49	78	39
g16961.t1	46	17	31	18	37	8	20	6
g15098.t1	272	54	137	639	335	93	552	181
g8030.t1	66	32	52	64	35	14	37	40
g19862.t1	1	20	1	18	4	0	9	1
g22589.t1	686	262	287	380	446	881	1212	1155
g14503.t1	27	2	44	46	27	7	56	3
g1097.t1	32	0	5	16	24	12	13	0
g8910.t1	54	32	62	33	67	28	67	24
g2907.t1	1	6	1	0	0	0	2	0
g5042.t1	38	69	27	143	534	57	216	495
g8767.t1	0	9	8	309	71	3	34	222
g17352.t1	169	55	108	197	153	104	231	139
g10639.t1	9	22	5	11	8	6	7	9
g2936.t1	267	51	221	254	212	215	424	181
g9975.t1	6	20	2	13	3	0	4	1
g14940.t1	0	15	1	15	8	1	5	15
g15962.t1	133	49	62	254	213	54	100	137
g10446.t1	0	5	0	10	15	6	8	0
g10732.t1	37	13	32	111	169	101	374	398
g9564.t1	0	0	1	0	0	0	0	0
g4504.t1	18	49	37	46	9	22	50	2
g12800.t1	547	238	244	885	708	260	733	329
g4613.t1	437	83	460	169	205	185	257	215
g16953.t1	0	1	0	0	0	0	0	0
g8879.t1	0	3	0	0	0	0	0	0
g21472.t1	0	5	0	1	2	0	1	4
g21936.t1	1	42	3	38	23	0	11	15
g4464.t1	264	161	229	1487	1086	50	495	1411
g5707.t1	190	47	253	131	160	68	166	41
g21457.t1	18	45	5	76	79	9	118	18
g2662.t1	1	16	9	6	30	1	1	8
g19824.t2	106	19	149	114	144	120	215	112
g15192.t1	4	30	5	851	3	0	30	0
g19919.t1	0	0	0	0	0	0	0	0
g20112.t1	0	11	2	89	58	5	36	37
g17842.t1	4	37	4	706	307	3	282	232
g6840.t1	107	13	46	63	73	44	97	41
g20665.t1	38	94	27	56	32	13	31	15
g19419.t1	25438	1948	8202	31157	21693	22951	50961	29753
g21654.t1	33	22	35	44	36	24	67	29
g13814.t1	2	1	0	0	0	0	0	0
g18082.t1	0	1	0	2	2	0	0	1
g6956.t1	14	5	0	0	0	0	5	2
g12823.t1	0	2	0	1	0	0	0	0
g17595.t1	74	7	69	40	48	32	71	17
g47.t1	5	38	11	32	49	8	47	21
g3556.t1	0	6	1	0	2	3	0	0
g11226.t1	121	54	73	208	90	33	94	40
g21731.t1	19	19	17	51	43	14	35	28
g13058.t1	0	0	0	0	0	0	1	0
g1057.t1	0	17	0	0	0	3	0	0
g21628.t1	2	8	8	0	6	4	1	5
g6645.t1	38	73	48	42	32	5	31	15
g16159.t1	1	5	4	0	0	0	0	0
g19336.t1	39	52	19	37	16	4	23	5
g16847.t1	2	8	0	0	0	0	0	0
g1178.t1	59	162	7	253	186	55	103	107
g6089.t4	18	23	10	13	24	26	24	21
g4215.t1	6	7	0	25	33	8	16	8
g3755.t1	5	10	2	37	14	8	23	14
g4604.t1	10	83	4	49	16	0	9	1
g15891.t1	5	0	5	9	2	3	12	3
g16396.t1	0	0	0	0	1	0	0	0
g1077.t1	4	47	2	276	0	0	10	0
g11584.t1	90	23	89	37	49	43	55	44
g21491.t1	0	2	0	0	0	0	1	0
g22980.t2	1	1	20	0	0	0	0	0
g3083.t1	549	123	297	292	273	295	206	365
g4900.t1	4	0	0	3	3	0	1	1
g12060.t1	0	0	0	2	1	0	3	1
g15967.t1	191	72	161	104	74	74	118	64
g10481.t1	560	185	228	308	433	70	196	131
g18870.t1	8	16	3	101	63	0	46	19
g7674.t1	0	45	0	4	8	1	5	0
g13082.t1	0	0	4	3	0	0	0	1
g11131.t1	1	0	1	0	1	0	1	4
g14340.t1	998	128	651	744	3678	1030	814	2857
g1096.t1	94	30	57	24	15	9	29	3
g4450.t1	0	1	2	0	0	5	0	1
g20201.t1	0	19	5	0	1	0	1	2
g17458.t1	0	0	0	0	0	0	0	0
g15074.t1	1	35	2	2	2	0	10	1
g6479.t1	474	105	435	602	992	390	554	893
g2456.t1	1	14	0	6	87	1	3	239
g1315.t1	222	41	436	124	189	170	244	163
g23518.t1	30	5	12	8	19	18	18	0
g15808.t2	0	0	0	0	0	0	0	0
g15270.t3	0	0	0	0	0	0	0	0
g711.t1	9	102	2	58	43	1	36	48
g9942.t1	39	19	18	59	47	14	28	47
g4356.t1	9	18	2	7	4	4	2	0
g18446.t1	0	14	3	0	0	0	1	0
g4706.t1	1	1	2	14	2	0	3	6
g4841.t1	773	129	852	513	457	673	963	725
g7836.t1	15	4	4	11	15	3	5	7
g12752.t1	5	83	9	361	141	2	157	112
g272.t1	0	5	2	19	27	8	15	41
g20018.t1	47	10	24	1757	680	54	779	128
g23689.t1	29	14	15	24	35	8	43	7
g14467.t1	3	72	1	0	0	1	1	0
g4272.t2	6	0	6	13	0	1	15	0
g23285.t1	342	52	284	271	277	237	532	273
g13192.t1	9	37	10	15	9	4	5	2
g2760.t2	10	12	0	0	8	0	0	0
g18232.t1	60	38	64	134	117	190	150	400
g15489.t1	0	0	0	0	0	0	0	0
g17327.t1	12	59	77	9	28	45	13	6
g22615.t1	15	89	12	56	16	4	39	24
g5699.t1	17	20	26	82	64	5	41	29
g21130.t2	0	0	0	0	0	0	0	30
g23243.t1	132	68	141	38	63	38	70	51
g1401.t1	0	7	0	0	0	0	0	0
g20355.t1	2783	759	3570	3577	2602	2868	3488	3618
g14139.t1	2	8	123	32	68	9	42	18
g587.t1	242	69	137	227	259	187	326	280
g9321.t1	12	9	22	30	23	5	19	23
g22350.t1	0	0	37	235	70	10	160	97
g21345.t1	0	3	0	2	2	2	1	1
g13299.t1	23	10	25	22	31	10	33	32
g12674.t1	4	21	0	22	0	0	2	4
g9563.t1	0	5	0	0	0	0	2	0
g12950.t1	14	13	20	9	3	6	10	3
g19797.t1	0	2	0	0	0	0	0	0
g17165.t1	1139	182	2432	470	833	2362	1049	1520
g11278.t1	43	424	38	62	258	13	184	96
g17555.t1	1284	333	861	1318	1011	372	862	1051
g18707.t1	0	0	0	0	0	0	0	0
g3581.t1	57	22	41	145	105	35	131	108
g12644.t1	45	23	65	37	57	8	48	24
g17141.t1	7	41	6	20	10	1	19	3
g12289.t1	10	57	9	36	57	15	64	26
g15114.t1	7	34	16	23	12	0	17	11
g9072.t1	209	36	86	388	220	383	369	159
g12116.t1	192	87	110	202	197	77	138	118
g5127.t1	39	13	15	43	58	35	43	42
g15083.t2	25	23	0	5	0	12	18	17
g23703.t1	98	17	20	48	56	98	59	115
g8561.t1	421	92	3	211	163	128	203	3
g11454.t1	48	26	29	47	54	11	28	34
g13999.t1	53	19	62	183	299	31	143	231
g10786.t1	2	32	4	14	7	1	6	2
g6776.t1	293	69	239	246	220	241	339	169
g16555.t1	163	42	664	317	300	607	472	377
g5827.t1	18	0	0	19	0	0	0	0
g10467.t1	793	205	2977	3297	3385	3862	3736	3987
g2025.t1	0	0	0	0	0	0	3	0
g5343.t1	98	38	76	52	49	11	31	28
g4392.t1	1	2	0	0	0	0	0	0
g5554.t1	69	32	77	305	469	136	130	102
g13546.t4	0	80	0	50	0	0	0	5
g1931.t2	49	81	39	11	50	0	0	32
g14591.t1	89	123	74	107	104	77	96	49
g15479.t1	0	28	0	1	0	0	1	0
g2629.t1	1	16	4	2	21	0	0	13
g21812.t1	141	29	243	101	168	139	249	169
g17220.t1	0	0	0	3	7	0	8	2
g4702.t1	0	1	0	0	0	0	0	0
g23687.t1	9	19	1	3	3	0	9	1
g15947.t1	6	46	6	53	31	3	40	29
g10189.t1	0	2	0	0	0	0	0	0
g18833.t2	17	8	28	63	48	0	34	31
g13261.t1	34	63	35	49	41	9	62	12
g22911.t1	59	11	59	155	191	60	88	137
g21163.t1	40	23	19	33	63	3	58	20
g22321.t1	134	31	103	37	58	10	11	58
g17467.t1	0	4	0	0	0	0	0	0
g17341.t1	1	6	0	0	0	0	1	0
g8512.t2	0	6	0	33	0	0	14	0
g9292.t1	0	1	2	2	0	0	0	2
g11859.t1	7	49	3	1164	175	4	143	177
g14290.t1	0	4	2	0	0	0	0	0
g21665.t1	91	24	66	52	61	21	72	33
g20415.t1	19	11	20	17	14	22	21	37
g15422.t1	40	26	85	54	66	35	33	52
g16146.t1	0	1	0	0	0	0	0	0
g12257.t1	0	35	7	3	0	0	3	0
g1329.t1	26	325	22	1965	15438	214	958	7572
g2513.t1	17	6	36	10	16	6	22	20
g7545.t1	24	16	7	26	46	19	11	30
g8763.t1	0	18	3	3	4	0	2	0
g1162.t1	169	130	380	329	741	80	346	496
g22511.t1	11	147	4	29	6	0	28	4
g13650.t1	0	0	0	0	0	0	0	2
g17479.t1	1	26	1	12	4	1	33	12
g18311.t1	0	0	0	2	3	0	1	3
g9145.t1	71	27	34	77	77	20	36	21
g23665.t1	16	25	21	30	32	25	42	26
g19263.t1	357	152	666	317	241	280	454	228
g9088.t1	1	50	5	23	36	8	20	9
g11192.t1	3	39	4	94	11	0	29	9
g13173.t1	3	71	4	8	1	0	10	12
g19667.t1	3	7	0	1	0	0	5	0
g3071.t1	2	9	7	28	12	5	5	0
g13404.t3	0	0	15	18	53	0	38	10
g24.t1	0	0	4	4	0	0	6	2
g7615.t2	0	0	0	234	157	0	75	29
g5836.t1	4	33	1	8	5	2	6	10
g17415.t1	2	37	6	25	95	1	13	99
g9535.t1	133	1795	90	162	83	59	84	74
