PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g22172.t3	0	0	0	0	0	0	0	0
g15765.t1	292	48	573	270	230	147	173	181
g15792.t1	152	41	348	234	203	226	240	104
g3097.t1	338	71	545	109	198	221	218	240
g20563.t1	25	74	84	50	60	19	46	38
g1297.t5	0	137	0	0	0	0	0	0
g15574.t2	31	148	62	270	90	19	126	88
g3793.t1	57	91	74	199	127	22	67	65
g14404.t1	16	38	6	198	83	4	130	70
g3301.t1	0	8	0	0	0	0	0	0
g17008.t1	4	18	75	154	130	533	513	88
g16253.t1	4	0	1	3	4	0	12	0
g21644.t1	2	3	0	0	0	0	0	0
g10525.t1	18	5	153	42	98	14	59	99
g4001.t1	6	93	5	1135	461	6	218	548
g17047.t1	14	9	31	75	85	20	45	78
g14956.t2	38	23	93	75	89	11	105	27
g17848.t1	57	15	63	43	48	25	46	44
g13921.t1	699	198	647	538	567	860	1185	707
g20664.t1	0	0	0	64	0	0	0	27
g11344.t1	0	7	2	0	0	0	2	3
g11594.t1	0	1	0	0	0	0	0	0
g8602.t5	0	15	0	0	0	0	0	0
g14613.t1	104	12	105	241	97	147	126	190
g21590.t1	456	204	416	1083	557	389	618	334
g19119.t1	26	58	55	53	32	11	51	12
g286.t1	11	6	43	9	13	5	11	5
g9810.t1	57	89	89	47	101	32	78	21
g8149.t1	282	65	227	164	170	43	165	103
g1600.t1	1	17	2	0	0	0	2	1
g9988.t1	13	55	23	24	27	58	20	49
g19640.t1	117	56	0	55	209	1	45	530
g4545.t1	57	22	97	80	60	115	125	76
g20930.t1	2	30	1	45	258	0	14	197
g9504.t1	0	64	0	0	0	0	0	0
g10469.t1	446	139	1385	806	804	889	1358	658
g18801.t1	1	3	0	0	0	0	0	0
g16277.t1	368	10	109	1617	822	117	1	66
g8653.t1	195	45	967	196	145	1239	350	274
g9687.t1	48	15	27	30	82	71	45	62
g1523.t1	0	0	0	0	0	0	0	0
g2452.t1	798	265	59	252	915	81	247	465
g3636.t1	4	11	8	4	18	1	8	0
g17622.t1	0	17	5	223	279	5	60	434
g3461.t1	23	20	7	61	41	16	15	25
g14870.t1	47	20	52	50	32	17	53	24
g7086.t1	4	48	2	0	0	0	3	0
g15608.t1	1	3	0	5	14	1	16	4
g21810.t1	129	37	66	45	103	37	83	57
g7518.t1	0	4	0	0	0	0	0	0
g9781.t1	54	18	44	74	68	59	122	76
g3899.t3	0	0	0	0	0	0	0	0
g9874.t1	151	70	162	171	133	81	123	81
g15259.t1	1035	191	922	736	611	546	994	631
g14284.t1	57	37	27	11	20	17	19	9
g11474.t1	0	0	0	0	0	1	0	0
g21448.t1	56	24	39	67	74	26	58	115
g2809.t1	338	49	517	419	579	542	912	481
g8697.t1	1	2	0	0	0	0	0	0
g605.t1	439	118	356	188	352	191	385	229
g9437.t1	2	1	0	3	1	0	2	2
g2808.t1	2	25	1	4	3	2	14	1
g20549.t1	0	6	2	0	0	0	0	0
g14419.t1	155	42	293	28	91	196	122	109
g5010.t2	0	34	0	0	33	0	0	28
g20070.t1	0	10	0	3	0	0	0	0
g2941.t2	64	27	52	21	18	25	26	33
g18396.t1	0	19	0	2	3	4	2	1
g2580.t1	104	16	86	115	103	73	132	86
g17619.t1	24	10	140	261	77	87	103	25
g19970.t1	0	9	0	0	1	0	0	0
g7654.t1	5842	1423	5521	5684	3818	4762	5275	6182
g1562.t1	8	5	0	11	7	8	2	1
g16912.t3	0	0	0	0	0	0	0	0
g2123.t4	56	0	35	405	189	17	196	267
g7686.t1	29	23	23	339	285	78	706	87
g19364.t1	2	9	0	0	2	0	0	0
g12015.t1	10	303	18	2972	10338	84	209	18194
g8084.t1	0	0	0	2	1	0	0	0
g22269.t1	695	171	310	231	671	340	463	176
g20109.t1	2	77	12	11	9	2	17	2
g21382.t2	58	44	17	0	0	49	53	22
g18629.t1	1	0	0	5	4	0	2	5
g3807.t2	0	0	0	0	0	0	0	0
g19967.t1	230	68	112	186	145	51	126	59
g14365.t1	698	389	729	892	696	977	1047	760
g1249.t1	25	11	51	34	42	44	55	62
g22204.t2	149	8	369	109	204	102	167	282
g7433.t1	1	14	3	21	4	0	2	1
g22490.t1	12	9	11	19	38	14	13	14
g13378.t1	26	5	17	8	20	8	12	28
g15640.t1	56	406	19	205	17	13	116	43
g6827.t1	55	24	53	52	72	19	42	25
g7664.t1	41	33	21	5	24	10	24	15
g14612.t1	418	76	406	287	315	109	349	136
g7388.t1	0	3	0	0	0	0	2	0
g17744.t1	83	718	141	389	314	231	470	176
g19272.t1	155	36	163	121	105	45	95	45
g23777.t1	1	9	0	13	4	0	12	0
g10059.t1	1	63	8	3	0	0	2	0
g1878.t1	4510	740	2163	2551	4140	3420	4048	2704
g6566.t1	148	100	2792	1120	774	1593	1425	587
g17981.t1	0	3	0	44	26	1	16	30
g1840.t1	144	155	112	265	264	143	229	253
g5899.t1	1	2	0	0	0	0	4	0
g5185.t1	24	30	93	52	23	20	48	10
g18886.t1	30	9	30	24	40	31	54	21
g7109.t1	0	8	0	0	0	1	1	1
g11398.t1	6	45	4	26	28	1	14	19
g13454.t1	0	0	0	0	0	0	0	0
g12638.t1	0	5	0	0	0	0	0	0
g18654.t1	45	49	68	51	29	25	46	18
g9228.t1	27	7	9	67	63	19	66	94
g924.t1	5	30	0	6	0	0	10	0
g19382.t1	5	33	6	12	29	5	15	72
g4406.t2	324	63	251	571	320	180	271	269
g20888.t1	99	2	65	34	30	7	18	1
g13505.t1	1	8	2	6	15	2	8	30
g9885.t1	0	1	0	0	0	0	0	0
g3199.t1	0	1	0	0	0	0	0	0
g21783.t1	8	7	2	24	216	0	17	26
g18375.t1	133	31	88	145	69	37	108	106
g17712.t1	0	0	0	0	0	0	0	1
g3692.t2	294	0	55	514	105	128	35	162
g19603.t1	415	65	1468	729	845	2967	2778	3595
g22113.t1	0	62	0	4	2	1	1	0
g14272.t1	0	8	0	0	0	0	0	0
g8597.t1	16	25	10	433	140	7	180	96
g13363.t1	0	11	0	0	1	1	0	0
g4784.t1	33	10	62	34	32	14	28	27
g17874.t1	0	14	4	3	4	2	5	3
g18922.t1	14	103	11	41	23	4	12	11
g12187.t1	0	0	0	0	0	0	0	0
g18813.t1	7	15	4	17	10	13	25	7
g14047.t1	96	30	1158	469	1404	1910	6565	2991
g21757.t1	1	56	5	4	1	2	4	3
g619.t1	7	12	4	266	1196	17	34	947
g13165.t1	331	70	963	336	535	662	780	878
g16716.t1	15	1	4	4	9	1	7	1
g22797.t1	59	120	56	140	80	46	124	44
g10024.t2	6	6	0	0	0	0	16	0
g1298.t1	14	9	27	40	51	10	20	32
g10631.t1	1	5	0	1	1	0	0	0
g23820.t1	4	155	6	8	4	0	24	2
g17623.t1	117	32	128	132	98	54	124	74
g14260.t1	0	5	0	0	1	0	1	0
g4867.t1	3	8	4	4	2	1	4	2
g6402.t1	8	4	5	4	7	1	5	4
g17283.t1	4	12	3	0	27	0	0	16
g10049.t1	30	8	35	44	20	71	38	21
g15223.t1	6	35	5	3	7	0	0	0
g18198.t1	0	2	0	0	0	0	1	0
g14026.t1	0	1	0	0	0	0	0	0
g1454.t1	118	95	88	224	201	79	182	127
g9142.t1	109	90	133	138	119	34	105	84
g1191.t1	0	1	0	0	0	0	0	0
g5518.t1	38	12	9	52	33	13	28	20
g10748.t1	538	122	499	293	505	817	825	543
g15376.t1	765	199	346	305	560	359	602	254
g14881.t2	306	50	730	99	137	360	227	210
g14097.t1	3	20	0	12	9	1	9	2
g4747.t1	11	6	3	22	0	1	43	11
g2173.t1	56	69	63	36	50	59	95	40
g5671.t1	2	14	1	16	2	1	4	1
g14435.t1	2	62	1	15	0	0	6	0
g20943.t1	5	1	9	7	9	0	13	0
g10956.t1	0	0	0	0	1	0	1	0
g14199.t2	0	0	9	0	0	3	0	0
g5512.t1	0	0	0	1	0	0	0	0
g1914.t1	773	215	204	399	2465	399	414	5062
g5697.t1	30	29	14	29	23	4	28	10
g8817.t1	328	35	228	219	206	277	431	504
g13822.t1	2	3	18	8	9	4	4	2
g1623.t1	177	84	46	276	128	13	182	21
g3207.t1	393	102	770	1025	1186	2255	2244	1940
g22324.t1	2	51	7	5	5	0	6	19
g20939.t1	0	1	2	0	0	0	1	0
g20023.t1	4	10	5	0	4	12	8	7
g17759.t3	0	0	0	0	0	0	0	0
g19787.t1	0	7	0	0	0	0	0	0
g9435.t1	1	1	1	0	0	0	0	0
g14291.t1	7	13	2	0	2	2	5	5
g19237.t1	1	3	1	51	24	1	19	46
g3523.t1	292	47	222	489	365	232	329	244
g20976.t1	14	65	2	30	27	11	17	19
g12860.t1	5	50	0	64	0	394	4	5
g13905.t1	1	33	1	7	4	0	7	5
g9706.t1	17	1	23	25	15	18	12	3
g10932.t1	81	12	70	92	79	139	138	113
g21815.t1	199	40	224	463	292	74	246	331
g11617.t1	2286	328	3524	1382	1603	3377	2904	2113
g15465.t1	21	26	24	9	5	12	12	3
g9187.t1	40	20	30	63	37	21	54	24
g7604.t1	0	0	0	0	42	0	0	0
g13974.t1	477	320	2910	2774	3689	1931	3297	1782
g6085.t1	267	49	243	187	252	173	258	234
g9961.t1	13886	1357	7167	7848	9213	18113	22724	20216
g1923.t1	154	64	50	61	125	42	78	100
g2882.t1	4	6	0	0	1	0	0	0
g1538.t1	0	36	1	0	0	0	4	0
g15816.t1	5	92	3	8	2	1	8	4
g5277.t1	23	67	23	27	186	17	86	53
g10319.t1	275	50	119	254	148	55	172	105
g3283.t1	132	131	105	152	141	48	139	90
g21506.t1	88	48	72	71	66	15	59	25
g15990.t1	2	3	10	7	5	0	34	8
g2810.t1	321	125	494	289	346	472	380	463
g3458.t1	1	33	2	46	13	1	8	11
g14233.t1	0	2	0	0	0	0	0	0
g21399.t1	303	138	617	336	385	619	288	439
g13324.t1	1	6	0	3	7	0	5	0
g5655.t1	0	4	1	2	0	1	0	0
g18687.t1	88	29	110	32	47	19	31	49
g3362.t1	0	7	2	6	23	0	0	36
g13952.t1	0	0	0	0	4	0	0	0
g18278.t1	2	33	0	0	1	0	2	0
g17297.t2	38	45	13	70	54	17	67	31
g12567.t2	36	24	28	20	0	10	19	8
g13405.t1	230	62	171	108	110	91	160	79
g17752.t1	0	2	0	2	4	0	0	4
g9167.t1	42	69	36	87	100	45	58	55
g17803.t1	7	293	4	28	3	3	18	0
g17026.t1	3	1	2	2	0	4	5	7
g15637.t1	8	0	0	0	6	0	2	0
g22239.t1	26	20	18	24	32	4	10	11
g2512.t1	44	20	86	22	35	22	19	16
g10263.t1	9463	1668	4024	92	106	292	55	95
g18908.t1	2	14	1	0	0	2	0	0
g22094.t1	46	21	43	14	53	17	28	8
g11009.t1	2	3	0	0	0	0	0	0
g3938.t1	0	5	0	23	5	3	15	2
g23993.t1	13	29	7	24	28	5	23	9
g3397.t1	0	0	0	3	0	0	8	0
g434.t1	1587	202	1509	323	392	612	914	240
g23574.t1	3	9	3	6	17	2	11	8
g8586.t1	91	37	270	112	142	250	303	175
g15710.t1	0	0	0	2	0	0	0	0
g19964.t1	43	14	29	38	35	14	26	26
g15349.t1	1	1	3	6	8	0	6	6
g22208.t1	773	177	239	1649	1041	218	692	1373
g12386.t4	0	0	3	0	16	0	3	0
g6292.t1	612	107	482	280	404	267	388	374
g21605.t1	89	19	73	39	62	58	83	49
g4167.t1	0	5	0	0	0	0	0	0
g2966.t1	35	9	30	39	28	6	27	24
g7461.t1	3	0	18	0	3	0	14	11
g7479.t1	0	0	17	0	62	0	0	20
g7536.t1	5	34	1	0	0	1	3	0
g5626.t1	0	11	0	17	9	0	9	1
g9548.t1	0	1	0	0	0	0	0	0
g23362.t1	2	1	0	0	0	0	0	0
g14959.t2	4	7	0	7	5	0	0	0
g7108.t1	2	12	0	0	0	0	0	0
g8602.t2	0	17	0	0	0	0	0	1
g9287.t1	378	189	629	476	496	1256	971	842
g14168.t1	5	45	0	3	0	0	2	1
g485.t1	100	29	103	171	170	38	213	62
g21471.t1	448	109	378	286	388	340	560	368
g15382.t1	43	23	10	1110	554	39	230	633
g1596.t1	38	12	29	24	22	7	20	11
g6090.t1	9	5	18	3	3	4	13	10
g5241.t1	6	38	4	564	2023	28	179	1836
g7330.t1	2	81	6	22	8	0	0	3
g7175.t1	3	13	0	0	0	0	0	0
g14095.t1	9	5	28	13	11	2	10	7
g4178.t1	1	1	4	1	2	0	3	2
g11153.t1	167	165	214	334	330	53	293	167
g7019.t1	11	32	1	11	0	0	7	0
g4975.t1	0	1	0	0	0	0	0	0
g3922.t1	109	30	123	85	98	35	95	42
g16137.t1	1	20	4	36	12	1	23	0
g8158.t1	2	3	1	0	0	0	0	0
g7611.t1	52	15	31	57	145	48	26	52
g10292.t1	6	7	4	16	10	5	7	9
g1408.t1	13	12	13	90	69	17	36	49
g1098.t1	1	0	3	4	30	1	6	8
g8728.t1	36	25	29	63	50	12	46	10
g10873.t1	2	0	0	0	0	0	0	0
g18628.t2	0	0	0	0	0	0	8	0
g6109.t1	19	104	11	20	52	38	97	31
g13017.t2	1423	238	1334	670	938	1269	1473	1215
g12392.t1	0	2	3	0	0	12	11	0
g2396.t1	24	18	28	17	30	9	43	25
g16356.t1	14	5	0	0	0	0	5	2
g22502.t1	6	25	0	13	2	4	57	8
g11233.t1	0	5	3	2	76	3	1	123
g15242.t1	0	0	0	0	0	0	0	0
g10186.t1	26	33	40	103	85	12	51	62
g15096.t1	133	27	200	126	117	87	126	82
g9298.t1	0	1	0	0	0	1	4	0
g3906.t1	34	5	22	28	28	19	35	34
g9597.t1	0	1	0	0	0	0	0	0
g2119.t1	144	20	152	87	121	26	105	68
g18277.t1	101	42	77	117	82	22	93	53
g11383.t1	4	189	7	11	1	0	4	3
g2313.t1	0	0	0	0	0	0	0	0
g8660.t1	60	22	42	148	179	11	110	145
g22430.t1	1	8	4	40	80	1	19	14
g23919.t1	1	4	0	0	0	0	1	9
g21302.t1	0	3	0	0	0	0	0	0
g7983.t1	24	71	21	4	51	54	25	570
g17924.t2	0	0	0	41	0	0	0	17
g7768.t1	791	138	1665	848	1159	5837	3279	2712
g8516.t1	524	165	540	205	343	169	309	297
g16437.t1	0	21	2	0	0	0	0	0
g14917.t1	0	39	1	0	0	0	6	0
g20148.t1	1059	217	619	347	733	1091	620	1837
g9150.t1	0	2	0	0	0	0	0	0
g988.t1	1	0	0	0	0	0	0	0
g14324.t1	26	14	15	25	31	30	34	23
g3992.t1	3	5	20	6	6	0	5	0
g11086.t1	0	0	0	0	0	0	0	0
g14829.t1	0	0	0	0	0	0	0	0
g12848.t1	0	10	0	0	0	1	0	0
g19113.t1	55	25	33	110	58	78	70	63
g20555.t1	4	3	1	5	8	1	8	4
g3940.t1	3	12	4	2294	1068	7	444	1279
g9997.t1	0	0	0	0	0	1	0	0
g17103.t1	57	45	31	110	97	55	83	25
g1833.t1	38	8	83	41	40	19	42	23
g15755.t1	0	3	1	0	0	0	0	0
g20889.t1	2	6	0	0	2	0	0	2
g10291.t1	21	5	47	22	26	26	28	10
g1534.t1	1	0	0	0	0	7	2	5
g10365.t1	6	10	6	3	0	0	6	0
g9444.t1	1	12	3	6	3	0	5	2
g5936.t1	0	7	0	0	3	0	0	0
g11215.t1	29	5	34	26	27	66	53	91
g19375.t1	6	24	10	48	36	6	36	15
g9412.t1	3	4	1	1	1	0	0	2
g15566.t1	24	15	6	14	5	6	7	13
g16438.t1	6	231	15	3	3	1	21	2
g11887.t1	5	18	2	36	43	1	13	102
g18086.t3	0	0	0	0	0	0	0	0
g22532.t1	3053	494	4443	3027	2617	4114	4887	3752
g3336.t1	50	28	25	71	63	11	60	35
g16019.t1	45	23	19	2439	1001	98	2507	18
g13783.t1	429	119	329	209	318	174	298	179
g16434.t1	287	105	79	214	104	57	422	40
g13542.t1	1	3	8	36	20	9	19	5
g14671.t1	1	12	2	6	2	5	37	5
g17024.t1	1155	195	1222	1246	853	835	1434	687
g10225.t2	129	119	25	85	126	20	70	14
g3366.t1	11	21	10	8	24	18	10	7
g16142.t2	1	24	1	0	7	0	1	0
g20603.t1	7	184	19	36	4	2	28	6
g23728.t1	175	34	169	192	149	144	214	206
g21517.t1	55	99	62	71	83	31	83	21
g19306.t1	11	1	7	20	31	10	21	18
g2798.t1	0	5	0	0	0	0	0	0
g18122.t1	7	44	5	30	35	0	10	40
g19925.t1	0	55	3	4	0	0	2	0
g16196.t1	23	6	6	17	16	8	16	3
g1222.t1	1	9	0	61	42	0	56	18
g6080.t1	0	5	3	6	4	0	1	0
g4010.t1	900	167	900	472	465	286	759	198
g17094.t1	1	5	0	8	9	2	0	8
g1458.t1	0	1	0	0	0	0	0	0
g20067.t1	1	0	0	0	0	0	2	0
g2135.t2	2	0	0	0	0	0	0	0
g16190.t1	11	3	9	8	8	5	12	2
g3914.t1	7	14	8	0	5	2	4	2
g17490.t1	85	142	496	2268	1547	183	1055	1647
g3141.t2	28	38	0	53	46	4	33	18
g23533.t1	0	4	3	16	5	2	32	2
g6959.t1	0	5	0	0	0	0	0	0
g17766.t1	1178	754	1483	1007	524	1919	2065	703
g1502.t1	178	159	28	6148	2351	49	639	2564
g19716.t1	11	96	19	23	15	6	21	3
g4746.t3	0	55	0	0	0	0	0	0
g5160.t1	0	13	0	7	2	0	2	0
g19866.t1	1	0	3	119	20	4	32	0
g9872.t1	157	114	160	24	64	80	82	76
g23166.t1	23	14	11	18	19	5	17	5
g13070.t1	0	0	0	0	0	0	0	0
g17847.t1	139	16	116	87	79	72	126	52
g18030.t1	2	7	24	36	76	158	289	364
g23544.t1	3	49	8	72	10	36	96	162
g10457.t2	382	104	204	417	268	105	286	114
g19536.t1	1	4	6	8	4	6	13	7
g17649.t1	13	10	7	14	19	3	8	6
g5380.t1	131	24	110	99	128	64	70	58
g21834.t1	0	0	0	0	0	0	0	0
g7206.t1	0	118	3	5	0	1	9	0
g535.t2	1	0	1	720	176	0	286	69
g6260.t1	0	0	0	0	0	0	0	0
g10629.t1	115	49	67	150	180	98	228	170
g15632.t1	1	30	6	108	139	2	24	97
g14929.t1	1	1	0	0	1	0	2	3
g9719.t1	4	44	0	24	19	3	2	43
g19380.t1	64	13	24	81	49	29	75	9
g12512.t1	0	1	0	1	0	0	3	0
g8895.t1	2	7	0	1	0	0	0	0
g4549.t1	13	114	39	135	378	25	104	171
g15257.t1	206	46	210	396	290	254	353	308
g19612.t2	187	0	192	300	75	196	261	80
g992.t1	0	0	0	0	0	0	0	0
g7584.t1	0	0	0	0	0	0	0	0
g4562.t1	14	0	25	17	12	5	15	6
g20496.t1	12	10	12	3	8	2	7	4
g16065.t1	19	2	3	2	0	2	2	0
g4150.t1	35	23	17	20	27	16	29	22
g17176.t1	17	18	44	33	39	8	22	16
g21915.t2	0	10	0	0	0	6	31	0
g1520.t1	4	27	3	12	0	1	13	0
g22303.t1	1018	200	4074	1709	1379	4000	3160	2033
g7695.t1	491	150	539	737	537	314	610	373
g5484.t1	0	4	0	0	0	0	0	0
g20120.t1	2	3	0	0	0	0	0	0
g3303.t1	1303	264	1127	1021	1261	586	1425	176
g10160.t3	0	0	0	0	0	0	0	0
g8340.t1	2	1	0	1	0	0	2	4
g12307.t1	630	114	2034	483	812	876	561	939
g21004.t2	0	5	1	0	4	0	0	7
g8444.t1	0	4	1	0	0	1	2	0
g18298.t1	3	33	5	32	18	1	16	58
g593.t1	13	12	8	23	21	6	20	10
g21511.t1	415	66	486	254	388	360	472	365
g1485.t1	0	0	0	1	6	1	1	1
g13017.t3	39	46	17	163	88	34	73	104
g14037.t1	2	12	2	45	22	1	28	4
g1793.t1	2	13	0	0	0	0	0	0
g24097.t1	15	25	5	16	23	3	19	10
g11627.t1	79	13	136	67	90	137	93	115
g22602.t1	9	4	6	11	5	4	36	11
g21721.t1	51	0	69	160	116	118	153	169
g5326.t1	54	17	25	10	4	2	6	1
g3436.t1	4	57	1	22	31	152	2	50
g18164.t1	0	1	0	0	5	0	0	0
g4981.t2	57	6	0	155	60	21	8	96
g9282.t1	708	69	472	342	279	1107	1067	501
g67.t1	29	0	0	0	0	0	0	0
g4025.t1	11	11	6	26	29	1	14	12
g12874.t1	2	0	0	0	0	0	0	0
g20263.t1	5	35	5	95	2	0	10	1
g3956.t1	1	29	0	0	0	0	0	2
g24100.t1	19	26	36	27	26	7	34	17
g23848.t5	17	10	12	21	36	0	38	22
g12334.t1	1	4	1	55	15	0	7	0
g16328.t1	62	44	31	297	143	57	154	59
g22338.t1	63	62	96	3530	269	15	852	41
g913.t1	0	0	0	0	0	0	0	0
g20200.t1	130	16	76	47	78	18	54	47
g9519.t1	0	0	1	0	0	0	0	0
g21823.t1	3	89	5	530	12	0	120	11
g9007.t1	0	2	0	6	0	0	0	0
g10471.t1	538	209	745	695	733	486	723	698
g3876.t1	0	1	0	42	0	0	5	0
g13381.t1	2629	389	3602	626	984	1635	1657	1042
g7740.t1	9	31	4	2	17	1	8	1
g17021.t1	6	0	6	1	7	0	3	4
g12195.t1	197	49	74	176	126	71	110	170
g9720.t1	4	11	2	27	115	3	2	128
g1957.t1	9	97	19	9	17	2	7	4
g11303.t1	0	0	0	0	0	0	0	0
g890.t1	0	20	3	0	1	8	2	2
g19214.t1	17	16	16	9	9	1	27	12
g15847.t1	0	19	0	14	10	0	0	8
g8265.t1	29	588	12	27	3	1	19	1
g2461.t1	2	114	4	1	22	2	3	18
g8544.t1	40	78	56	79	49	44	55	36
g21565.t2	118	28	102	90	127	94	122	147
g6642.t1	120	50	274	269	90	152	174	164
g17574.t1	21	10	15	28	28	2	16	17
g16514.t1	0	1	0	2	0	0	0	0
g8528.t1	0	2	1	4	0	0	0	0
g10247.t1	0	8	6	0	0	0	0	1
g1887.t1	3	18	0	3	45	0	4	16
g20722.t1	0	0	0	1	0	0	0	0
g14099.t1	0	10	2	159	138	7	95	127
g20886.t1	27	12	35	9	23	3	5	1
g3935.t1	1	10	1	26	6	2	12	10
g8522.t1	3778	943	4003	4268	2763	4395	4221	4594
g18436.t1	0	2	0	0	2	0	0	4
g8693.t1	2	84	7	8	0	0	7	7
g11025.t1	20	122	45	41	32	13	15	7
g17292.t1	63	5	141	76	45	44	86	50
g9185.t1	38	42	15	50	121	7	22	83
g20027.t1	0	8	0	9	5	0	4	6
g1829.t1	0	3	1	2	0	1	0	0
g14716.t1	177	90	140	157	213	40	154	98
g17491.t3	0	31	0	209	169	0	85	375
g20786.t1	2	2	3	2	1	0	2	5
g10791.t1	0	5	0	0	0	0	0	0
g19784.t1	1	0	0	0	0	0	0	0
g7804.t1	116	14	94	125	108	96	126	102
g4739.t1	17	59	556	137	135	89	178	97
g315.t1	1	0	1	0	2	0	8	0
g1695.t1	14	47	7	112	34	0	35	20
g2832.t1	13	0	17	19	21	7	21	13
g15584.t1	2	3	2	4	4	8	1	6
g12179.t1	0	1	3	3	20	0	41	1
g18308.t1	1	9	0	3	0	0	0	0
g22921.t2	28	6	35	79	53	26	53	44
g20498.t2	45	12	37	25	25	10	45	7
g4514.t1	15	19	17	9	21	5	18	5
g5015.t1	45	27	28	27	36	15	31	29
g7879.t1	75	15	45	124	96	53	141	81
g4169.t1	2	2	3	14	7	0	11	7
g6611.t1	92	17	54	25	30	55	42	43
g4626.t1	19	1	15	14	12	7	23	18
g11227.t1	0	22	0	0	0	0	0	0
g15250.t1	11	29	14	56	10	4	20	11
g23691.t1	8	8	15	7	4	0	16	0
g4056.t1	21	44	7	19	24	50	18	9
g11184.t1	15	71	24	43	127	51	71	170
g7849.t1	0	0	0	0	0	0	0	0
g1978.t1	3	3	0	0	6	0	3	3
g5516.t1	31	87	27	21	12	26	77	68
g13397.t1	1	5	9	23	7	1	13	3
g20479.t1	176	27	57	414	437	66	261	324
g17161.t1	41	15	43	60	85	23	56	14
g20275.t1	0	4	0	2	3	0	3	0
g14197.t3	0	0	3	6	2	0	3	1
g7460.t1	32	123	43	1389	392	7	235	520
g12491.t1	29	17	54	62	60	130	85	58
g15540.t1	16	27	24	21	19	2	28	24
g2735.t1	62	35	37	80	50	14	55	20
g12385.t1	122	16	230	166	109	151	140	120
g19993.t1	5	17	2	5	7	1	0	4
g2700.t1	2	16	6	190	254	8	52	249
g12498.t1	584	64	661	965	993	7592	4863	3330
g23995.t1	8	41	7	65	46	2	51	14
g6334.t1	24	40	31	88	64	22	124	43
g6450.t1	175	88	148	330	200	123	306	165
g1967.t1	40	30	26	103	137	17	82	97
g527.t1	299	10	1012	685	257	4464	1596	504
g18973.t1	9	6	0	6	9	5	6	2
g20222.t1	2	6	0	35	1	0	13	11
g17529.t1	0	0	12	84	17	0	38	6
g5977.t1	1	6	0	0	0	0	0	0
g21049.t1	0	4	0	0	0	0	0	0
g9268.t1	1	23	5	15	8	0	48	1
g18459.t1	81	16	52	55	85	75	184	64
g9822.t1	0	0	0	0	0	0	0	0
g261.t1	22	184	15	4639	6524	45	738	5055
g13116.t1	3	3	0	2	1	1	1	0
g14882.t1	1525	278	1761	1265	986	1483	1665	1583
g12463.t1	27	16	37	15	26	7	23	15
g14601.t1	0	11	1	520	1	0	62	0
g11556.t1	8	7	5	17	18	6	23	5
g22298.t1	0	11	1	96	0	0	21	3
g2962.t1	1	21	9	3	1	13	2	0
g5669.t2	42	0	11	0	25	28	0	21
g20525.t1	0	0	0	0	0	0	1	0
g16889.t1	38	24	45	157	74	5	101	67
g5914.t1	0	24	4	3	20	2	8	87
g8342.t1	0	2	0	0	1	0	0	8
g19251.t2	6	28	8	43	25	17	12	7
g20391.t1	0	1	2	0	0	0	0	0
g7971.t1	1	17	2	0	0	0	0	0
g16730.t1	135	894	179	8527	87095	865	3336	70961
g19418.t1	30	13	38	39	20	25	55	24
g18160.t1	0	0	0	0	0	0	0	0
g3661.t1	77	12	35	105	106	56	86	55
g21117.t1	88	30	63	62	41	16	60	67
g2096.t1	0	1	0	0	0	0	0	0
g12360.t1	2	5	2	12	1	12	5	5
g14109.t2	5	0	0	0	0	0	0	0
g8232.t1	28	28	5	21	7	5	6	5
g7073.t2	0	5	0	0	0	0	0	0
g12255.t1	48	179	210	65	42	32	128	13
g10684.t1	12	5	7	8	12	0	14	13
g3568.t1	0	2	0	0	2	0	1	0
g19102.t1	5	12	6	11	3	5	2	4
g9443.t1	0	0	1	1	3	0	0	0
g12298.t2	0	66	0	13	69	0	5	16
g19777.t1	1	38	1	3	0	0	4	0
g9311.t1	4	0	20	0	0	23	0	34
g6886.t1	0	0	0	1	0	0	0	0
g15847.t4	0	0	10	0	0	0	1	0
g459.t1	0	0	0	0	0	0	0	0
g16347.t1	2	7	0	0	0	0	1	0
g10870.t1	0	4	0	0	0	0	0	0
g20778.t1	0	0	0	0	0	0	0	0
g8750.t2	47	71	86	188	210	28	105	111
g10892.t1	3	72	0	10	1	2	4	0
g14576.t1	6	62	7	447	2974	28	59	3973
g9590.t1	2802	577	3222	2166	3011	1167	2155	2021
g15846.t1	1	30	2	103	34	4	35	39
g8382.t1	64	25	44	87	81	111	170	114
g19899.t1	163	28	93	71	100	146	123	150
g5263.t1	6	0	8	2	4	3	11	11
g511.t1	13	32	5	15	20	3	10	7
g2405.t1	38	37	24	35	45	9	42	10
g20955.t1	66	21	56	69	70	26	83	26
g15484.t1	0	18	0	0	0	0	1	0
g19432.t1	0	2	0	15	9	0	5	1
g8563.t1	106	17	47	73	89	35	75	63
g23364.t1	46	21	45	28	25	25	38	8
g23789.t1	16	12	49	56	41	14	51	28
g20859.t2	8546	1507	8106	2715	2889	2244	3298	2553
g1243.t1	120	47	75	109	93	24	40	53
g10869.t1	0	3	1	0	0	0	0	0
g1160.t1	34	14	14	30	32	25	40	44
g808.t1	0	1	0	0	2	0	0	0
g4671.t1	1	13	0	5	4	0	22	4
g16365.t1	2	27	1	17	21	0	4	28
