,term,df,SumOfSqs,R2,statistic,p.value
1,condition,1,73402.9394512074,0.227364901255745,3.53126439570674,0.001
2,Residual,12,249439.060548793,0.772635098744255,NA,NA
3,Total,13,322842,1,NA,NA
