gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
34	g1011.t1	84.8874566695221	1.36898262596947	0.238153200300142	5.7483276489426	9.01304547947962e-09	3.0192127754783e-07	55	17	71	154	206	43	60	17	228	124	133	130	37	184	34
35	g10111.t1	10.7775113907062	5.16220851181526	0.841955703563381	6.13121152332292	8.7212358443392e-10	3.89842846058427e-08	1	1	0	49	37	1	0	1	19	11	39	12	0	32	0
36	g10112.t1	23.3737940349659	4.06650797882277	0.635350288421567	6.40041887590136	1.54951262627023e-10	8.27745818996456e-09	2	4	0	68	115	1	4	3	44	22	96	16	2	59	1
37	g10117.t1	65.7914369144883	-1.73674694858059	0.493580580673488	-3.51866952749805	0.000433716610138888	0.00298931470543321	29	47	17	21	47	207	124	20	38	44	52	17	66	50	170
38	g10123.t1	18.7821902606207	-2.11583758745122	0.754074295143498	-2.80587417059293	0.00501802835053773	0.0215920929522442	6	51	4	5	0	27	19	7	10	13	18	3	12	11	30
39	g10124.t1	47.1552156610295	-3.06241505588632	1.12873759058454	-2.71313286757853	0.00666503766933483	0.0268225613794753	0	10	1	28	2	91	144	2	0	12	23	10	14	5	303
40	g10125.t1	6.0404790801582	-5.45149037947206	1.61285760970383	-3.38001962893247	0.000724806531972155	0.00455583652504869	0	28	3	0	0	14	1	0	2	0	0	0	6	0	1
41	g10140.t1	365.850387495196	1.27327283596428	0.262461082057203	4.85128243008145	1.22665722372981e-06	2.17174542024505e-05	286	120	282	610	644	120	228	57	738	540	654	694	150	1042	215
42	g10143.t1	38.0909574340771	1.04905085298982	0.297670051769721	3.52420690880039	0.000424752430198086	0.00294342593157056	29	18	28	76	56	15	31	8	49	69	46	79	14	105	22
43	g10147.t1	26.922964490901	-1.06549977941902	0.382231873942584	-2.78757438103939	0.00531042618768825	0.0225055965858248	31	28	12	12	20	34	36	22	12	19	27	12	46	61	19
44	g10157.t1	53.3070282520967	1.39743282859344	0.422339502886522	3.30879024823051	0.000937000063657284	0.00558765060011724	16	25	54	128	68	32	29	2	97	59	66	120	27	212	15
45	g10162.t1	294.205572590097	2.08221024524497	0.305041037545034	6.82600040310172	8.73146841734365e-12	6.27592422622026e-10	147	70	161	492	700	115	98	62	429	473	726	694	49	1095	50
46	g10168.t1	5.17054545530088	-2.90714241005363	1.0445252524952	-2.7832188863878	0.00538224814569763	0.02273427150179	0	10	2	3	0	7	8	0	1	3	0	2	4	1	21
47	g10173.t1	59.6481678979301	2.55005064976896	0.560710190091897	4.54789425059498	5.41853490189784e-06	7.85197606179235e-05	21	20	42	203	132	12	6	2	92	88	136	128	4	189	4
48	g10178.t1	25.3980392040315	1.08532196026278	0.373869239978845	2.90294531939613	0.00369671175652593	0.0169409783631515	18	19	9	33	59	14	18	2	46	57	37	30	9	59	16
49	g10183.t1	75.0338852060205	-2.4911574691808	0.882437864740206	-2.82304009009655	0.00475706227359998	0.0206747774787737	13	186	9	7	9	115	116	0	42	81	14	5	83	40	182
50	g10188.t1	693.254299173854	0.900958389889239	0.28897515302633	3.11777113171785	0.00182224249893655	0.00954812701973657	548	113	868	922	1158	377	558	277	1746	883	909	1326	339	1594	270
51	g1019.t1	914.170547072954	-1.13538298966451	0.268027990694919	-4.23606126629085	2.27474734578819e-05	0.000258342041082034	1042	184	1201	705	683	1283	1055	1076	654	565	858	713	1204	890	1151
52	g10192.t1	385.395881711971	-0.728272132798111	0.189096218662052	-3.85133102053014	0.000117477578020599	0.0010231994365844	464	146	500	413	374	398	458	329	326	282	422	316	606	459	287
53	g10204.t1	12.0406197151227	1.37813764637288	0.430186862403612	3.20357911134878	0.0013573074344775	0.00754088310745175	4	53	2	13	24	11	5	1	16	27	34	18	15	32	5
