gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
1877	g16051.t1	72.8426705358546	-1.57460480732639	0.399086159697267	-3.94552596993299	7.96250009801575e-05	0.000737136027473559	67	38	93	81	13	205	59	56	80	44	31	23	145	47	70
1878	g1606.t2	50.2506156066856	-1.86900578585963	0.481717976500289	-3.87987552268254	0.000104509935241067	0.000928571847614166	55	47	30	31	39	100	59	50	43	30	0	19	62	29	81
1879	g16062.t1	28.0614233206628	-2.70012407454431	0.854969663063494	-3.15815191017343	0.00158772797798428	0.008583332034905	5	69	4	5	1	112	31	0	8	4	7	12	35	35	29
1880	g16063.t1	5.65633080096485	-3.11491170128042	1.20043417784412	-2.59482090627788	0.00946402189365915	0.0350606359022801	0	14	2	0	0	24	8	0	5	2	0	0	7	4	5
1881	g16064.t2	19.6008465007888	-3.06831980258097	0.972580039363423	-3.15482497932948	0.00160594412901309	0.00865801176954849	2	58	2	5	4	79	12	0	8	6	9	2	12	0	25
1882	g16066.t1	42.9718242986577	-1.96910610004813	0.644254702259935	-3.0564093566424	0.00224005198686023	0.0112758317207355	8	37	13	7	13	202	69	5	45	34	5	20	66	35	76
1883	g16069.t1	938.595484834425	-3.81868028378377	1.01798148080973	-3.75122765568024	0.000175970828168632	0.00142216244580812	11	115	17	214	36	7155	2470	20	21	110	125	463	1131	20	2321
1884	g16070.t1	1419.6148351795	-3.67632518601267	0.8947884812979	-4.10859690625445	3.98070169084926e-05	0.00041285944909647	41	75	39	368	150	8791	4577	56	214	201	122	495	1564	162	4509
1885	g16071.t1	469.714177494038	-3.87404882745418	0.91963327237046	-4.21260185320217	2.52445818513076e-05	0.000283134540359274	7	20	13	125	42	3068	1567	23	50	64	38	128	491	48	1402
1886	g16072.t1	264.914636236425	-2.67040349485721	0.777668656194281	-3.43385768937314	0.000595056520434646	0.00388240284065246	22	36	41	123	37	1205	854	39	58	92	29	227	310	23	843
1887	g16076.t1	121.977590794316	-0.73256770729432	0.287800260108025	-2.5454032147829	0.010915161777822	0.0392535779692784	85	59	99	96	86	97	119	163	156	99	126	100	151	165	156
1888	g16085.t1	353.929703714441	0.600342750743369	0.204935151288705	2.92942790423313	0.00339586580104405	0.0157965075479656	261	73	389	418	556	266	334	119	629	460	639	490	242	803	283
1889	g1609.t1	41.2877527753562	-2.67119149106	0.935538666472612	-2.85524434936672	0.00430037289911475	0.0190573603737008	2	68	5	12	4	305	23	0	9	34	3	9	46	28	25
1890	g16092.t1	646.743357665093	-2.77712327496872	0.517779853991645	-5.36352129879031	8.16150230559002e-08	2.15071988284336e-06	679	104	2045	94	299	242	447	1431	184	172	266	176	853	248	775
1891	g16092.t3	121.331068854301	-3.46592658267623	1.32459281962134	-2.61659774334805	0.00888109331870761	0.0334102684663952	0	0	119	35	6	935	0	24	0	58	14	39	172	8	380
1892	g16093.t1	122.245674429294	-2.23046402867914	0.618599320535212	-3.60566841028752	0.000311350494906991	0.00228215705088874	53	20	447	32	97	163	44	229	74	72	19	60	155	11	103
1893	g16098.t1	140.359996141622	-2.81100805898172	0.909667886741669	-3.09014762415154	0.00200057033857461	0.0103274491231357	330	12	431	11	3	511	75	4	7	196	13	9	443	53	27
1894	g16099.t1	103.992552176192	-1.60209025852714	0.397167655175102	-4.03378834517836	5.48847581622108e-05	0.000544288148085982	73	26	61	53	74	440	214	63	52	74	59	63	100	80	137
1895	g16101.t1	165.101937006253	-2.40502420198978	0.59266903311801	-4.05795489151346	4.95043265304411e-05	0.000497920085767593	85	129	965	49	43	78	206	90	52	88	43	100	112	79	40
1896	g16103.t1	55.2419056706002	-1.15018966837946	0.398223812087014	-2.88829957794725	0.00387330779374904	0.0175789834524356	60	8	53	36	47	82	37	57	60	44	50	32	62	31	135
1897	g16105.t1	18.7740449541831	-1.85281214614195	0.735567287304031	-2.51888872455544	0.0117725854967998	0.0415632975233785	7	5	113	7	10	6	29	14	15	14	12	8	12	3	2
1898	g16106.t1	25.8454119856007	-1.65515518057689	0.627299812676487	-2.6385392552803	0.00832640597526902	0.0317802574348529	12	32	92	13	6	9	36	20	15	16	30	19	16	4	9
1899	g16109.t1	12122.5191909504	0.923812886644306	0.344953129788094	2.67808234472842	0.00740450122491415	0.0290843108208093	4106	2220	37437	20193	25190	4659	6574	10785	22235	13833	16610	23214	7782	28063	5699
1900	g16114.t1	102.034359358645	0.42968029490222	0.15504506037219	2.77132527712111	0.00558286253524753	0.0233491650783066	97	32	85	120	163	113	68	42	163	162	117	141	108	233	58
1901	g16116.t1	1651.95836120501	-0.880990178651175	0.240218842079455	-3.66744827768247	0.000244983085133875	0.00187418990341986	1700	516	2113	1331	1665	2372	1716	1611	1806	1757	673	1351	2031	1906	1951
1902	g16119.t1	45.1968420642003	1.39670504666385	0.385660917017095	3.62158825287951	0.000292799884558781	0.00217762994239575	10	11	12	51	78	58	54	10	108	76	69	103	15	151	12
1903	g16120.t1	88.0581703284887	1.64312143752263	0.36283164842282	4.52860560721495	5.93742040336849e-06	8.4601023106534e-05	21	31	37	100	206	95	53	17	230	174	131	205	13	229	26
1904	g16125.t1	87.2010459956946	-2.17228326952707	0.576203052203377	-3.76999611720269	0.000163250087184437	0.00133734026362563	24	11	22	33	26	454	170	37	26	38	57	44	148	51	183
1905	g16126.t1	92.1792677722016	-1.7050690478887	0.579041698809345	-2.94463948174157	0.0032333117107008	0.0152137231102679	27	11	20	37	41	403	195	34	59	56	87	44	111	51	228
1906	g16127.t1	66.2895818975899	-1.86527408321884	0.529467310058944	-3.52292586866446	0.00042681072322821	0.00295371724992339	26	14	26	36	23	293	122	53	27	12	67	43	67	39	125
1907	g16127.t3	10.5584410000585	-1.69899406204464	0.613268753472866	-2.77039071764776	0.00559890849575773	0.0233846303678993	4	10	7	4	9	37	7	10	11	3	0	12	22	5	7
1908	g16130.t1	937.057919670746	-2.03971702022327	0.428660460275814	-4.75835121091143	1.9518068309765e-06	3.28873370624427e-05	725	114	1782	631	317	650	1007	1545	445	285	425	459	2140	658	1542
1909	g16136.t1	12.67455481219	-3.0193390216695	1.08257063191623	-2.78904575152297	0.00528635965253159	0.0224299649112612	3	40	0	2	0	2	19	1	1	3	0	8	23	12	27
1910	g16153.t1	18.6167313826917	-2.79453922459023	1.09062459180182	-2.56232918787698	0.0103972717760399	0.0378567779997682	4	77	1	3	0	36	6	0	1	2	17	3	8	16	14
1911	g16168.t1	115.756177569345	0.809296570846029	0.185575548234536	4.36100864874297	1.29464248511628e-05	0.000161438560031647	102	48	88	160	222	100	75	24	166	200	157	184	91	300	54
1912	g16170.t1	2885.37591684644	-0.864080317440111	0.281243278647118	-3.07235899679683	0.00212374141743971	0.0108239594273922	2555	794	3128	2111	2185	4643	3054	2805	2444	2303	4582	1798	4119	2511	3604
1913	g16171.t1	35.5495451591049	-2.18082358395128	0.695605543568715	-3.13514405414719	0.00171769740043798	0.00913754198634762	1	11	19	3	15	65	85	76	11	11	44	17	50	6	49
1914	g16175.t1	34.3751622226434	-1.9216662148466	0.566836233033414	-3.39016121916348	0.000698515313872311	0.00442011664686384	7	20	11	19	13	106	96	6	21	10	20	22	31	21	98
1915	g16176.t1	42.9389764477878	-3.84848985673111	1.04426029712406	-3.68537410388004	0.000228366947832718	0.00176517288901781	2	102	2	17	5	175	82	0	0	4	9	8	22	1	84
1916	g16192.t1	12.9996855925697	1.18732109910845	0.434093119983258	2.73517603585665	0.00623469237111107	0.0254504848016958	12	10	8	22	17	6	4	2	31	24	27	14	3	31	5
1917	g16193.t1	108.487685252713	2.0583778632986	0.351250459348108	5.86014283687707	4.62469201495174e-09	1.68727169887826e-07	43	47	25	207	252	45	32	5	307	245	198	212	32	225	47
1918	g16194.t1	46.071882843607	1.88627275954548	0.303211327367722	6.22098381323955	4.94047137735843e-10	2.32363257063369e-08	17	7	27	73	106	30	22	4	136	127	69	88	13	85	21
1919	g16196.t1	18.9726703483635	0.843448814720557	0.334235802311609	2.5235142641428	0.0116188346759295	0.0411251423080617	23	6	6	25	44	17	16	8	39	26	19	29	16	51	3
1920	g16197.t1	91.0085354767886	-2.35239316529274	0.73106974747109	-3.21774108890446	0.00129204390919546	0.00724743841727868	7	8	128	19	46	104	333	52	41	53	0	28	235	91	213
1921	g16198.t1	44.3198865047425	-1.83620580297582	0.597840093552549	-3.07139956449646	0.00213057828432687	0.0108510031029689	1	7	48	26	26	68	191	23	18	26	17	19	59	42	94
1922	g162.t1	25.4650138114245	-3.25275669242301	1.20736424216965	-2.69409725649796	0.00705795666595011	0.0280438737314657	1	20	0	21	0	28	149	0	1	4	1	10	14	1	98
1923	g16202.t1	57.6236205409747	0.942339279812261	0.33218056153257	2.83682848708733	0.00455640811017255	0.0199671641611471	78	24	18	79	135	36	37	25	117	89	54	94	32	153	13
1924	g16203.t1	44.3247840007701	1.10387150576785	0.290992196900002	3.7934745932283	0.000148553837300724	0.00124126502637266	34	8	50	87	89	16	26	11	80	60	91	71	35	84	18
1925	g16209.t1	448.624384693488	-1.0986403173295	0.410690057330968	-2.67510814473923	0.00747051478903414	0.0293010492133346	390	41	668	336	234	351	594	631	369	178	479	362	867	638	452
1926	g16216.t1	1632.50593762751	-3.8703867808515	1.13441308261386	-3.4117966728077	0.000645362319065944	0.00415177334909061	8	267	12	861	104	1959	8673	48	21	256	221	136	195	10	9732
1927	g16217.t1	489.800670290276	-1.50165116397034	0.396640145458367	-3.7859283311703	0.000153135808933922	0.00126792699054168	232	87	769	188	478	795	536	755	483	320	170	210	994	482	502
1928	g16224.t1	26.1836634550636	-3.06404969333964	0.99473961379479	-3.080253013802	0.00206824814954561	0.0106034475628956	11	105	5	4	3	15	16	18	1	0	15	12	33	14	0
1929	g16225.t1	50.7683372307667	-3.31176215621032	0.639195923447364	-5.18113779316529	2.20536494760514e-07	5.00661811557579e-06	18	56	11	8	7	34	55	81	16	11	1	5	132	41	142
1930	g16226.t1	62.4658599283101	-3.18847382503174	0.549273122612849	-5.80489686053528	6.44056374084489e-09	2.25107587291081e-07	27	17	25	6	11	63	69	108	18	19	12	7	205	41	191
1931	g1627.t1	354.967178124326	-1.22637513011695	0.282136817534626	-4.34673907798808	1.38176427224772e-05	0.00017016077811192	437	78	559	272	282	295	419	401	282	210	170	274	575	439	470
1932	g16270.t1	76.0806979580983	-4.21326773861614	1.38436236467862	-3.0434717427429	0.00233865403393164	0.0116841660486123	51	2	10	1	37	547	1	0	3	329	9	1	0	0	406
1933	g16286.t1	9.90448135494645	-2.54633242540972	0.96336426370793	-2.64316678678639	0.00821345651196582	0.0314231886182813	4	40	1	1	2	4	4	4	1	5	4	3	18	10	0
1934	g16294.t1	6.55685468060671	1.61700493116418	0.600006652816323	2.69497833661386	0.00703932075453388	0.028000681103942	6	51	1	7	3	4	2	3	12	15	9	19	4	32	0
1935	g163.t1	16.0900486567344	1.30919095211107	0.46678661932936	2.80468826204146	0.00503652652720132	0.0216379112504623	5	51	4	36	29	6	1	3	23	25	26	33	18	42	18
1936	g16308.t1	20.7603015998118	-3.69173299068503	0.915264646064516	-4.03351424810175	5.4948847301808e-05	0.000544330728651381	3	50	0	4	3	9	7	11	2	4	7	1	15	4	98
1937	g16309.t1	3.754476315336	-2.84754306746954	1.13698279255394	-2.50447331843367	0.0122633854496469	0.0429317709066523	0	6	2	2	0	9	5	0	1	0	0	3	1	2	16
1938	g16324.t1	102.925319305616	-1.28698668546102	0.496050201429213	-2.59446862787874	0.00947372590861629	0.0350905769616356	62	24	81	35	92	61	65	146	112	47	102	46	103	109	336
1939	g16328.t1	70.2612561615892	-2.88211901503832	0.533245402395274	-5.40486425591705	6.48574922488634e-08	1.7539898060052e-06	62	44	31	8	10	297	143	57	11	37	51	10	154	11	59
1940	g16345.t1	181.926289093907	-1.71716931856316	0.363449398548679	-4.72464482104012	2.30517891527761e-06	3.77822316909326e-05	140	29	134	118	107	399	261	241	136	75	81	69	281	181	346
1941	g16346.t1	24.4545158633711	-2.61717472709973	0.924942945218218	-2.82955261254765	0.00466131352130242	0.0203279363498785	0	27	2	4	9	176	26	3	11	16	0	6	48	16	15
1942	g16348.t1	399.752960042947	-1.27560255437064	0.248164563073764	-5.14014788643083	2.74522316302038e-07	5.98999144410712e-06	432	136	540	349	247	393	453	409	262	227	254	341	1003	393	395
1943	g16351.t1	39.9389978548921	2.53265114354036	0.541148224144386	4.68014312999873	2.866747097496e-06	4.49761228820348e-05	9	16	11	34	135	10	15	1	153	126	14	57	12	161	4
1944	g16352.t1	76.8136317478678	-2.01596281049342	0.674249060041998	-2.98993788788946	0.00279034180474387	0.0135265617175966	8	149	29	22	17	256	130	5	42	91	20	32	88	37	87
1945	g16353.t1	38.9898278653741	1.01178195437729	0.362456163448057	2.79146019963401	0.00524708102759364	0.0223553757447791	14	24	21	38	78	24	41	3	105	38	46	77	26	124	22
1946	g16353.t2	53.8468802295451	1.6441622507863	0.346943041400571	4.73899762955037	2.14778016722504e-06	3.56617221165877e-05	30	8	43	65	142	29	39	11	142	139	45	105	14	148	12
1947	g16358.t1	21.1274734694698	1.01981128433133	0.360689278417315	2.82739561543446	0.00469283122486162	0.0204284514184872	11	9	21	16	38	15	20	3	42	29	59	33	13	49	5
1948	g16361.t1	43.2477870974532	1.00343073993833	0.394040101465815	2.54651934208118	0.0108803181693513	0.0391738531525902	35	9	62	86	104	28	30	7	86	73	56	57	31	74	5
1949	g16363.t1	9.46407074394747	-3.16571807651499	1.03504858786029	-3.05852122658254	0.00222432320528259	0.0112201521441569	1	1	1	4	1	33	39	2	1	0	0	6	2	5	41
1950	g16365.t1	10.2799634185328	-3.14800151675554	1.03879047111164	-3.03044897339766	0.00244190444756098	0.0120866169579002	2	27	1	2	2	17	21	0	0	0	6	6	4	1	28
1951	g16366.t1	8.9669122426612	-3.29086532377446	1.12976523980981	-2.91287535482015	0.00358117515913258	0.0165235070522144	0	1	4	4	0	57	18	1	0	1	0	7	6	2	31
1952	g16368.t1	18.6664673490714	-3.31577863031607	1.04746934363334	-3.16551376941942	0.00154809334501081	0.0084047677589232	3	44	0	0	2	49	25	2	4	0	13	8	14	1	53
1953	g16369.t1	128.382377366195	1.1861710162445	0.350389319914154	3.38529443915446	0.000711019417401948	0.00449004818899333	171	41	71	167	368	45	64	38	274	237	93	269	54	281	44
1954	g16370.t1	52.4159963822299	1.10092882428669	0.426668452042645	2.58029113475832	0.00987170521420873	0.0363036447916719	69	30	19	73	80	34	22	10	94	95	105	88	36	136	3
1955	g16371.t1	190.969191038471	1.8784860395144	0.325076773912579	5.77859198276518	7.53283576248345e-09	2.562467008197e-07	166	67	35	392	391	64	85	31	448	418	298	412	58	481	42
1956	g16372.t1	18.3424346626836	0.814651868690775	0.322828741465965	2.52347998815546	0.0116199674106393	0.0411251423080617	14	6	11	30	32	28	12	3	36	24	36	26	18	35	4
1957	g16380.t1	6.04338698228059	1.91808549727119	0.610400758521463	3.14233799760873	0.00167604433832267	0.00896002452671383	2	5	2	8	22	2	2	0	5	12	7	15	1	21	2
1958	g16385.t1	1889.52632007468	-1.27333761456468	0.404324581746717	-3.14929557105767	0.00163664570924992	0.00878631015375236	2048	316	1723	1816	1307	1594	1830	2982	1574	1208	422	1768	4336	1740	2294
1959	g16387.t1	33.0293721271036	0.852571634232044	0.30647796551059	2.78183664137702	0.00540522398230604	0.0228001600423457	24	12	12	53	62	19	21	16	54	35	23	76	22	103	30
1960	g16388.t1	279.62120770458	-1.6733695461285	0.553286101143847	-3.0244199929639	0.00249110350335315	0.0122879672355324	85	35	931	125	218	166	161	495	141	116	154	149	637	313	135
1961	g16390.t1	8.33177349176969	1.62858880841401	0.619043379814388	2.63081532170221	0.00851803095923925	0.0323368309884438	0	5	4	9	10	5	3	1	18	11	41	13	2	11	6
1962	g16392.t1	116.559326002449	4.30401198335811	0.990174956722474	4.34671868252919	1.38189270692232e-05	0.00017016077811192	1	7	1	19	115	3	3	22	1	308	132	123	5	1941	20
1963	g16393.t1	22.0820882838839	1.35896015097831	0.474197155781675	2.86581253052474	0.004159404804941	0.0185467277318422	7	14	10	32	34	8	6	3	51	31	51	46	3	50	25
1964	g16403.t1	64.0523168627225	-5.15530279741436	1.07184573604168	-4.80974325321558	1.51124282988143e-06	2.62195177421691e-05	0	12	2	3	1	85	387	5	7	7	0	5	25	8	344
1965	g16413.t1	944.978187684882	-3.30303423237651	0.478742393575276	-6.89939783211856	5.22234313349149e-12	3.90952919353247e-10	593	89	560	104	251	1509	2262	1287	176	245	229	270	1759	215	3087
1966	g16414.t1	672.583600353152	0.813622232035011	0.227711373584918	3.57304169407943	0.000352858551670333	0.00252033501663508	662	119	595	1134	1258	369	532	200	1057	820	740	1398	627	1673	384
1967	g16416.t1	2.64708654371345	-4.24236092283826	1.70303062537471	-2.49106555080584	0.0127360619887633	0.0442144899112474	0	6	0	0	0	17	6	0	1	0	0	1	3	0	0
1968	g16417.t1	11.6065993051966	-2.66819135384687	0.914016026354789	-2.91919537175726	0.00350936203965588	0.0162476027665215	1	15	4	4	3	60	18	0	6	0	0	10	22	5	16
1969	g16421.t1	6.27776280191556	-2.94116790270827	0.824439526338111	-3.5674756107	0.000360436915408176	0.00256514890291312	2	13	4	3	0	16	9	0	2	1	0	2	12	5	11
1970	g16422.t1	27.8922977076897	1.04661679817585	0.330001181556374	3.17155469940963	0.00151625310031973	0.00827342643768406	34	3	21	28	48	18	22	4	55	33	58	56	14	86	16
1971	g16424.t1	2397.53842840944	-0.788810871230551	0.254517762792673	-3.09923701424764	0.00194019739888013	0.0100686425341261	2481	730	2670	1687	2127	3435	2174	2468	2348	2380	3214	1708	2997	1984	2827
1972	g16428.t1	3.56102673742519	-4.28966650715137	1.37547295905152	-3.11868472507766	0.00181660228602692	0.00952318644492184	0	5	0	0	1	19	2	0	1	0	0	0	13	1	7
1973	g16436.t1	59.7673823958551	0.589054173595594	0.202496221957611	2.908963771773	0.00362628879292759	0.016694840257302	50	14	45	60	104	34	62	25	120	94	76	101	48	116	51
1974	g16440.t1	52.8524811102191	1.67638095006069	0.542805934403765	3.08836150050953	0.00201263482215518	0.0103822971810509	51	30	22	89	139	14	24	9	99	65	132	99	6	139	1
1975	g16447.t1	3951.01211933568	2.4265381728102	0.441051742191804	5.501708622103	3.76128199662058e-08	1.09818267202276e-06	2745	613	1212	7324	9489	1412	939	843	7640	4967	12160	10161	589	12198	127
1976	g16448.t1	745.297269889616	2.31526465366615	0.400054411061181	5.78737439121018	7.14951116014585e-09	2.45558968053795e-07	428	213	237	1360	1993	245	190	137	1583	891	1711	1937	148	2586	33
1977	g16450.t1	54.2850528699488	-3.39272597184412	1.10544044645417	-3.06911691419171	0.00214692554123195	0.0109162712302123	1	25	0	36	2	55	218	2	2	8	17	6	7	3	340
1978	g16451.t1	36.7519661582683	0.992564145084517	0.369370589263773	2.68717698142369	0.00720587611216819	0.0284903380275509	21	184	10	30	132	37	34	5	76	55	60	29	35	86	19
1979	g16453.t1	27.7422695944637	2.96361041051865	0.716192187484117	4.13800996758901	3.50331155412012e-05	0.000371242507619934	14	10	3	120	28	2	0	1	60	79	20	40	1	131	7
1980	g16457.t1	13.9052831871334	1.70764457219705	0.568332411406873	3.00465808024194	0.00265879554377644	0.0129790256294231	5	7	6	14	40	4	10	1	47	30	1	36	7	38	4
1981	g16459.t1	34.1488340262548	1.77180211660859	0.439739535004728	4.02920814611209	5.59650493983921e-05	0.000552878467458545	2	17	13	40	88	7	31	7	79	53	45	79	11	133	12
1982	g16460.t1	161.603958049884	-0.671511907822027	0.21058598242304	-3.18877780987838	0.00142875649704041	0.00786543175915247	184	54	238	142	109	182	204	113	178	196	127	158	267	214	108
1983	g16462.t2	8.50408720173043	-2.33699593232767	0.894416439077495	-2.61287229328886	0.00897848447020826	0.0336479320133303	2	23	2	2	2	19	31	0	6	4	1	4	3	6	1
1984	g16463.t1	5.61572091503475	1.30119978893221	0.50999000112915	2.55142215739774	0.0107284286993632	0.038775401755884	1	77	3	7	11	5	4	3	13	3	10	15	3	17	1
1985	g16467.t1	5.29062868671645	-5.2484254843315	1.65137359641506	-3.17821811837443	0.00148183228146027	0.0081139930859584	2	25	5	1	0	1	0	0	0	1	0	0	12	0	0
1986	g1647.t1	56.7169874091914	-2.64549577720174	0.812712153999746	-3.25514484332735	0.00113334548826716	0.00654579490822004	5	30	5	21	13	416	108	3	7	25	2	18	112	60	56
1987	g16479.t1	763.03694942055	-3.90463846469643	1.21392151450363	-3.21654935516405	0.00129742215338112	0.00726818443511148	8	40	4	207	20	4783	2653	19	0	69	45	409	980	4	2263
1988	g16480.t1	235.221645323256	-1.04210405431581	0.294939533760882	-3.53328033386221	0.00041043701052226	0.00285799958887966	210	53	196	161	157	267	324	291	231	188	254	144	351	230	361
1989	g16491.t1	35.2602966456244	2.03469148903065	0.448355747564841	4.53811844741969	5.67583788926837e-06	8.14842420267558e-05	7	6	10	82	113	19	40	1	78	56	28	110	14	72	8
1990	g16495.t1	61.209134779476	1.17080812974808	0.326282133388177	3.58833049664774	0.000332802252026142	0.0024007220476969	21	40	12	68	126	44	43	22	104	104	133	111	37	144	21
1991	g1650.t1	23.8744810354944	-4.97986856703499	1.03211561046018	-4.82491352380055	1.40064025575102e-06	2.45168704960949e-05	3	2	1	2	3	96	92	3	0	4	0	0	140	4	27
1992	g16500.t1	311.152480056142	-1.73396977138112	0.321784177789986	-5.38861103516656	7.10042898579164e-08	1.9012101622228e-06	258	64	326	142	190	362	481	416	154	135	231	175	876	245	394
1993	g16504.t1	86.2115389623418	-4.07180048111882	0.576138775292223	-7.06739531470272	1.57868754939508e-12	1.35729591512128e-10	61	3	153	19	13	199	97	107	20	6	2	6	300	20	178
1994	g16505.t1	38.8583857814741	-2.0360478176315	0.422017153730412	-4.82456174976277	1.40311442934951e-06	2.45403239118646e-05	16	11	106	14	16	61	37	30	19	29	23	12	110	19	51
1995	g1651.t1	191.191174666075	-5.71965619662339	0.83471083711807	-6.85226061802567	7.2691965427456e-12	5.29525478795626e-10	33	15	6	2	4	645	686	67	7	18	1	11	1226	21	226
1996	g16510.t1	93.7696212559806	0.886689211085475	0.330833701294205	2.68016591906082	0.00735856762678454	0.028956458822387	47	59	74	155	142	49	91	15	145	95	261	140	68	178	34
1997	g16513.t1	806.802596028692	-3.79161782890604	0.98440408647521	-3.85168842856233	0.000117306215983022	0.001022118398225	108	78	19	334	66	1192	4543	54	25	33	298	73	111	22	4356
1998	g16519.t1	16.4119724904082	-5.73993486993005	0.935797412903841	-6.1337366301523	8.5838582191201e-10	3.84496423541746e-08	7	22	6	0	1	11	17	43	0	1	0	3	42	0	22
1999	g1652.t1	1352.22122302572	-5.5492119803331	0.867718536924748	-6.39517509905905	1.60363481209505e-10	8.54547762553604e-09	142	98	21	31	45	4302	4894	465	91	123	3	38	9307	191	1410
2000	g16520.t1	9.15792378489238	-6.48923721476671	1.30271323491977	-4.98132439344286	6.31505755369147e-07	1.22315371686764e-05	9	0	1	1	0	10	5	41	0	0	0	0	24	0	7
2001	g16522.t1	115.769905462556	-4.25750909115757	0.745795898344095	-5.7086786084646	1.13856655617636e-08	3.74359991533063e-07	17	123	21	13	7	1050	109	17	12	18	19	13	204	15	27
2002	g16536.t1	193.371161109687	0.910396540701296	0.335007268698926	2.71754264985658	0.00657686783974328	0.0265516954119884	57	78	263	232	389	121	159	54	391	242	185	373	111	636	61
2003	g16543.t1	9.60064748402318	-1.71782863859388	0.703427123008091	-2.44208473402031	0.0146027187497458	0.0492486079736165	12	23	13	8	3	8	4	6	9	6	0	2	4	12	5
2004	g16548.t1	299.057448049949	-1.71400057888087	0.365492439496621	-4.68956507347045	2.7378635723468e-06	4.33946361814821e-05	312	100	411	137	166	212	362	608	211	218	133	191	341	158	349
2005	g16555.t1	318.185456745054	-1.64742207376456	0.455629484037614	-3.61570559298694	0.000299530641509136	0.00221398887224125	163	42	664	135	204	317	300	607	276	132	283	106	472	228	377
2006	g16555.t2	61.9158048172576	-1.96667000330873	0.416746630639044	-4.71910234833336	2.3688762121568e-06	3.86797259245376e-05	56	11	114	26	41	56	54	133	34	25	24	32	89	41	74
2007	g16562.t1	49.2064708303688	1.86265535522363	0.321384722886507	5.79571841030354	6.80293276743099e-09	2.3586770901181e-07	22	6	15	111	126	30	30	8	108	47	76	122	43	161	6
2008	g16563.t1	33.7761955294228	1.72512893630894	0.448086666343065	3.84998944598844	0.000118122914646679	0.00102840614019353	21	4	7	62	86	33	22	10	37	36	51	109	18	123	1
2009	g16564.t1	24.4976910151244	2.00148055053742	0.404441951809362	4.94874614659372	7.46930878910323e-07	1.4234257898592e-05	6	10	2	41	72	5	10	5	62	26	50	43	23	87	6
2010	g1657.t1	42.3807296537038	1.50624959457583	0.566900245085314	2.65699231502212	0.0078841240258361	0.0305139576563442	29	39	11	46	127	17	11	2	65	50	126	61	5	119	13
2011	g16571.t1	128.795084007839	-0.77248077153742	0.201024919151155	-3.84271151456887	0.000121682467870635	0.00105304007695247	127	98	155	76	117	149	126	104	151	145	106	115	168	139	96
2012	g16574.t1	129.092264739714	-1.17264112762698	0.369604070967654	-3.17269537794027	0.00151030900065348	0.00825348199776154	193	100	235	62	126	144	169	65	63	130	20	155	170	164	83
2013	g16577.t1	37.8828056900206	0.949993735091799	0.323891539918634	2.93306128134884	0.00335637636391077	0.0156599531234008	31	24	24	39	85	29	20	5	86	46	41	92	20	80	18
2014	g16582.t1	60.4720168648771	0.752531654890538	0.282816364588849	2.66084904946907	0.0077943892020997	0.030264108109732	32	17	21	73	128	59	50	13	114	75	101	69	52	165	74
2015	g16584.t1	217.755810087725	-2.35477923160151	0.442167268974562	-5.32553944361942	1.00653870455225e-07	2.55292671430105e-06	381	74	159	44	64	170	129	527	119	77	60	119	374	160	288
2016	g16586.t1	10.0260189253188	-3.24942690777679	0.881505162962631	-3.68622561081306	0.000227604593344975	0.00176207921395219	7	7	8	5	3	74	4	2	0	0	6	0	14	2	12
2017	g16586.t2	32.7200271259711	-3.17392157444776	0.838104413977331	-3.7870240527496	0.000152462346633171	0.00126574169969634	9	5	6	2	12	281	31	3	9	7	0	11	57	20	57
2018	g16588.t1	108.294483458547	-2.75095020600678	0.370585339326774	-7.42325697774311	1.1427474920066e-13	1.22613343138011e-11	156	23	133	27	22	487	161	75	42	35	34	33	219	55	87
2019	g16589.t1	47.5299270652785	-2.7593127069782	0.662814115075992	-4.16302647185153	3.14056941350994e-05	0.000338040891847202	10	91	12	13	6	185	41	8	13	32	5	10	134	29	40
2020	g16591.t1	123.123717342521	-3.43529341050495	0.967726856717506	-3.54985850259167	0.000385438260533856	0.00271398682648219	3	5	3	26	14	1337	116	3	16	38	17	32	286	36	59
2021	g16596.t1	27.742070568034	2.88355347968875	0.586008237357286	4.92067055694075	8.62482022819728e-07	1.60860332445731e-05	6	12	7	17	64	4	2	2	107	34	61	88	8	114	0
2022	g16602.t1	67.3622150137026	0.656073763208453	0.246413601478975	2.66249005440729	0.00775648617314444	0.0301873679359561	83	13	44	93	108	70	38	27	124	101	60	136	48	154	43
2023	g16608.t1	129.72158729647	-0.72315412844743	0.251329574918939	-2.87731409517033	0.00401076157321394	0.0180241159394024	179	28	171	154	177	144	176	105	122	94	99	106	166	119	123
2024	g16609.t1	182.712139582754	0.87114224282539	0.315249548327937	2.76334176351995	0.0057212825734283	0.0237855396764261	185	35	151	278	387	120	127	104	425	248	328	204	132	327	31
2025	g16612.t1	38.7701959079738	1.68659772326415	0.30306885306717	5.56506452641091	2.62055422459808e-08	7.91839254876807e-07	17	9	15	45	76	33	29	8	92	93	91	82	13	75	7
